@relation 216.58.199.238_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0}

@data
0,1070,cluster0
1,8773,cluster0
2,3772,cluster0
3,7595,cluster0
4,3773,cluster0
5,8023,cluster0
6,3789,cluster0
7,8376,cluster0
8,7865,cluster0
9,7639,cluster0
10,3774,cluster0
11,3774,cluster0
12,8212,cluster0
13,3775,cluster0
14,8182,cluster0
15,3775,cluster0
16,7810,cluster0
17,3775,cluster0
18,7706,cluster0
19,3775,cluster0
20,8283,cluster0
21,3774,cluster0
22,7673,cluster0
23,3775,cluster0
24,7773,cluster0
25,3774,cluster0
26,7679,cluster0
27,3775,cluster0
28,7865,cluster0
29,3773,cluster0
30,8177,cluster0
31,3776,cluster0
32,7800,cluster0
33,3774,cluster0
34,7375,cluster0
35,3776,cluster0
36,13121,cluster0
37,66,cluster0
38,66,cluster0
39,132,cluster0
40,66,cluster0
41,3775,cluster0
42,7799,cluster0
43,3777,cluster0
44,7498,cluster0
45,3775,cluster0
46,7628,cluster0
47,3787,cluster0
48,7714,cluster0
49,3775,cluster0
50,7633,cluster0
51,5521,cluster0
52,66,cluster0
53,3841,cluster0
54,7494,cluster0
55,66,cluster0
56,3367,cluster0
57,7932,cluster0
58,3774,cluster0
59,7359,cluster0
60,3774,cluster0
61,7756,cluster0
62,5218,cluster0
63,132,cluster0
64,66,cluster0
65,66,cluster0
66,132,cluster0
67,5237,cluster0
68,7571,cluster0
69,3776,cluster0
70,7589,cluster0
71,3775,cluster0
72,7695,cluster0
73,3774,cluster0
74,7773,cluster0
75,3776,cluster0
76,7504,cluster0
77,3775,cluster0
78,13133,cluster0
79,66,cluster0
80,132,cluster0
81,66,cluster0
82,3973,cluster0
83,8145,cluster0
84,3774,cluster0
85,7721,cluster0
86,3772,cluster0
87,7703,cluster0
88,3773,cluster0
89,7469,cluster0
90,3774,cluster0
91,7426,cluster0
92,5416,cluster0
93,2513,cluster0
94,7292,cluster0
95,66,cluster0
96,198,cluster0
97,3774,cluster0
98,7806,cluster0
99,3773,cluster0
100,7779,cluster0
101,3773,cluster0
102,7901,cluster0
103,3773,cluster0
104,7424,cluster0
105,3775,cluster0
106,7790,cluster0
107,15392,cluster0
108,3786,cluster0
109,7740,cluster0
110,7968,cluster0
111,8487,cluster0
112,66,cluster0
113,132,cluster0
114,66,cluster0
115,3778,cluster0
116,7802,cluster0
117,3777,cluster0
118,7855,cluster0
119,3774,cluster0
120,7385,cluster0
121,3775,cluster0
122,7781,cluster0
123,3779,cluster0
124,7649,cluster0
125,3838,cluster0
126,12604,cluster0
127,66,cluster0
128,66,cluster0
129,132,cluster0
130,2514,cluster0
131,7834,cluster0
132,3778,cluster0
133,7487,cluster0
134,3774,cluster0
135,7781,cluster0
136,3774,cluster0
137,7376,cluster0
138,3774,cluster0
139,13056,cluster0
140,66,cluster0
141,66,cluster0
142,132,cluster0
143,3972,cluster0
144,8252,cluster0
145,3774,cluster0
146,7500,cluster0
147,3774,cluster0
148,7747,cluster0
149,3774,cluster0
150,7708,cluster0
151,3773,cluster0
152,7696,cluster0
153,3774,cluster0
154,7914,cluster0
155,3770,cluster0
156,12855,cluster0
157,132,cluster0
158,66,cluster0
159,66,cluster0
160,2580,cluster0
161,8781,cluster0
162,3773,cluster0
163,7744,cluster0
164,3775,cluster0
165,7724,cluster0
166,3774,cluster0
167,7456,cluster0
168,5860,cluster0
169,15924,cluster0
170,5417,cluster0
171,66,cluster0
172,132,cluster0
173,4557,cluster0
174,12246,cluster0
175,3855,cluster0
176,11132,cluster0
177,3984,cluster0
178,10912,cluster0
179,3867,cluster0
180,10791,cluster0
181,3979,cluster0
182,11458,cluster0
183,4021,cluster0
184,11506,cluster0
185,4028,cluster0
186,10791,cluster0
187,3950,cluster0
188,10625,cluster0
189,4025,cluster0
190,11012,cluster0
191,5587,cluster0
192,66,cluster0
193,66,cluster0
194,2854,cluster0
195,11217,cluster0
196,3978,cluster0
197,10890,cluster0
198,4000,cluster0
199,11075,cluster0
200,4012,cluster0
201,10962,cluster0
202,3975,cluster0
203,10870,cluster0
204,5284,cluster0
205,132,cluster0
206,66,cluster0
207,4059,cluster0
208,11092,cluster0
209,3956,cluster0
210,10883,cluster0
211,3943,cluster0
212,10810,cluster0
213,3936,cluster0
214,11059,cluster0
215,3934,cluster0
216,10873,cluster0
217,3973,cluster0
218,10821,cluster0
219,5521,cluster0
220,66,cluster0
221,66,cluster0
222,132,cluster0
223,66,cluster0
224,3927,cluster0
225,11153,cluster0
226,3935,cluster0
227,11111,cluster0
228,3911,cluster0
229,11056,cluster0
230,3910,cluster0
231,11357,cluster0
232,3922,cluster0
233,16240,cluster0
234,132,cluster0
235,66,cluster0
236,66,cluster0
237,2679,cluster0
238,11910,cluster0
239,3933,cluster0
240,11109,cluster0
241,7509,cluster0
242,3930,cluster0
243,9889,cluster0
244,17798,cluster0
245,4340,cluster0
246,9730,cluster0
247,5417,cluster0
248,66,cluster0
249,66,cluster0
250,2783,cluster0
251,8535,cluster0
252,3591,cluster0
253,8153,cluster0
254,3969,cluster0
255,7645,cluster0
256,4044,cluster0
257,7961,cluster0
258,3914,cluster0
259,7629,cluster0
260,3926,cluster0
261,8008,cluster0
262,9417,cluster0
263,8621,cluster0
264,66,cluster0
265,132,cluster0
266,132,cluster0
267,3949,cluster0
268,8081,cluster0
269,4050,cluster0
270,9692,cluster0
271,3939,cluster0
272,7794,cluster0
273,3862,cluster0
274,7731,cluster0
275,3873,cluster0
276,8077,cluster0
277,3866,cluster0
278,8248,cluster0
279,5591,cluster0
280,66,cluster0
281,66,cluster0
282,2680,cluster0
283,9885,cluster0
284,3856,cluster0
285,8230,cluster0
286,3887,cluster0
287,7923,cluster0
288,5349,cluster0
289,8061,cluster0
290,3945,cluster0
291,7924,cluster0
292,9200,cluster0
293,7576,cluster0
294,132,cluster0
295,66,cluster0
296,132,cluster0
297,3878,cluster0
298,8024,cluster0
299,4037,cluster0
300,8083,cluster0
301,4037,cluster0
302,7741,cluster0
303,3914,cluster0
304,8092,cluster0
305,3880,cluster0
306,7631,cluster0
307,4045,cluster0
308,7867,cluster0
309,5351,cluster0
310,4078,cluster0
311,8768,cluster0
312,132,cluster0
313,132,cluster0
314,4040,cluster0
315,7725,cluster0
316,4037,cluster0
317,8177,cluster0
318,4063,cluster0
319,8098,cluster0
320,4067,cluster0
321,8015,cluster0
322,4059,cluster0
323,8284,cluster0
324,4045,cluster0
325,8678,cluster0
326,4041,cluster0
327,8036,cluster0
328,5350,cluster0
329,132,cluster0
330,4111,cluster0
331,8339,cluster0
332,132,cluster0
333,4039,cluster0
334,8034,cluster0
335,4040,cluster0
336,7558,cluster0
337,4037,cluster0
