Instance_number,length,Cluster
0,84,cluster2
1,294,cluster0
2,126,cluster2
3,252,cluster0
4,252,cluster0
5,252,cluster0
6,252,cluster0
7,252,cluster0
8,252,cluster0
9,252,cluster0
10,252,cluster0
11,252,cluster0
12,252,cluster0
13,252,cluster0
14,252,cluster0
15,252,cluster0
16,252,cluster0
17,252,cluster0
18,252,cluster0
19,252,cluster0
20,252,cluster0
21,252,cluster0
22,252,cluster0
23,252,cluster0
24,252,cluster0
25,252,cluster0
26,252,cluster0
27,252,cluster0
28,252,cluster0
29,252,cluster0
30,252,cluster0
31,252,cluster0
32,252,cluster0
33,252,cluster0
34,252,cluster0
35,252,cluster0
36,252,cluster0
37,252,cluster0
38,252,cluster0
39,252,cluster0
40,252,cluster0
41,252,cluster0
42,252,cluster0
43,252,cluster0
44,252,cluster0
45,252,cluster0
46,252,cluster0
47,252,cluster0
48,252,cluster0
49,252,cluster0
50,252,cluster0
51,252,cluster0
52,252,cluster0
53,252,cluster0
54,252,cluster0
55,252,cluster0
56,252,cluster0
57,252,cluster0
58,252,cluster0
59,252,cluster0
60,252,cluster0
61,252,cluster0
62,252,cluster0
63,252,cluster0
64,252,cluster0
65,252,cluster0
66,252,cluster0
67,252,cluster0
68,252,cluster0
69,252,cluster0
70,252,cluster0
71,252,cluster0
72,252,cluster0
73,252,cluster0
74,252,cluster0
75,252,cluster0
76,252,cluster0
77,252,cluster0
78,252,cluster0
79,252,cluster0
80,252,cluster0
81,252,cluster0
82,252,cluster0
83,252,cluster0
84,252,cluster0
85,252,cluster0
86,252,cluster0
87,252,cluster0
88,252,cluster0
89,252,cluster0
90,252,cluster0
91,252,cluster0
92,252,cluster0
93,252,cluster0
94,504,cluster0
95,252,cluster0
96,252,cluster0
97,252,cluster0
98,252,cluster0
99,252,cluster0
100,252,cluster0
101,252,cluster0
102,252,cluster0
103,252,cluster0
104,252,cluster0
105,252,cluster0
106,252,cluster0
107,252,cluster0
108,252,cluster0
109,252,cluster0
110,252,cluster0
111,252,cluster0
112,252,cluster0
113,252,cluster0
114,252,cluster0
115,252,cluster0
116,252,cluster0
117,252,cluster0
118,210,cluster1
119,42,cluster3
120,42,cluster3
121,210,cluster1
122,42,cluster3
123,210,cluster1
124,42,cluster3
125,210,cluster1
126,42,cluster3
127,210,cluster1
128,42,cluster3
129,210,cluster1
130,42,cluster3
131,210,cluster1
132,42,cluster3
133,210,cluster1
134,42,cluster3
135,210,cluster1
136,42,cluster3
137,210,cluster1
138,42,cluster3
139,210,cluster1
140,42,cluster3
141,210,cluster1
142,42,cluster3
143,210,cluster1
144,42,cluster3
145,210,cluster1
146,42,cluster3
147,210,cluster1
148,252,cluster0
149,252,cluster0
150,252,cluster0
151,252,cluster0
152,252,cluster0
153,252,cluster0
154,252,cluster0
155,252,cluster0
156,252,cluster0
157,252,cluster0
158,252,cluster0
159,252,cluster0
160,252,cluster0
161,252,cluster0
162,252,cluster0
163,252,cluster0
164,252,cluster0
165,252,cluster0
166,252,cluster0
167,252,cluster0
168,252,cluster0
169,252,cluster0
170,252,cluster0
171,252,cluster0
172,252,cluster0
173,252,cluster0
174,252,cluster0
175,252,cluster0
176,252,cluster0
177,252,cluster0
178,252,cluster0
179,252,cluster0
180,252,cluster0
181,252,cluster0
182,252,cluster0
183,252,cluster0
184,252,cluster0
185,252,cluster0
186,252,cluster0
187,252,cluster0
188,252,cluster0
189,252,cluster0
190,252,cluster0
191,252,cluster0
192,252,cluster0
193,252,cluster0
194,252,cluster0
195,252,cluster0
196,252,cluster0
197,252,cluster0
198,252,cluster0
199,252,cluster0
200,252,cluster0
201,252,cluster0
202,252,cluster0
203,252,cluster0
204,252,cluster0
205,252,cluster0
206,252,cluster0
207,252,cluster0
208,252,cluster0
209,252,cluster0
210,252,cluster0
211,252,cluster0
212,252,cluster0
