@relation 208.67.220.220_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,490,cluster1
1,490,cluster1
2,490,cluster1
3,490,cluster1
4,490,cluster1
5,490,cluster1
6,490,cluster1
7,490,cluster1
8,490,cluster1
9,490,cluster1
10,490,cluster1
11,490,cluster1
12,490,cluster1
13,490,cluster1
14,490,cluster1
15,490,cluster1
16,490,cluster1
17,490,cluster1
18,490,cluster1
19,490,cluster1
20,490,cluster1
21,490,cluster1
22,490,cluster1
23,490,cluster1
24,490,cluster1
25,490,cluster1
26,490,cluster1
27,490,cluster1
28,490,cluster1
29,490,cluster1
30,490,cluster1
31,490,cluster1
32,490,cluster1
33,490,cluster1
34,490,cluster1
35,490,cluster1
36,490,cluster1
37,490,cluster1
38,490,cluster1
39,490,cluster1
40,490,cluster1
41,490,cluster1
42,490,cluster1
43,490,cluster1
44,490,cluster1
45,490,cluster1
46,490,cluster1
47,490,cluster1
48,490,cluster1
49,490,cluster1
50,490,cluster1
51,490,cluster1
52,490,cluster1
53,490,cluster1
54,490,cluster1
55,490,cluster1
56,490,cluster1
57,490,cluster1
58,490,cluster1
59,490,cluster1
60,490,cluster1
61,490,cluster1
62,490,cluster1
63,490,cluster1
64,490,cluster1
65,490,cluster1
66,490,cluster1
67,490,cluster1
68,490,cluster1
69,490,cluster1
70,490,cluster1
71,490,cluster1
72,490,cluster1
73,490,cluster1
74,490,cluster1
75,490,cluster1
76,490,cluster1
77,490,cluster1
78,490,cluster1
79,490,cluster1
80,490,cluster1
81,490,cluster1
82,490,cluster1
83,490,cluster1
84,490,cluster1
85,490,cluster1
86,490,cluster1
87,490,cluster1
88,490,cluster1
89,490,cluster1
90,490,cluster1
91,2212,cluster0
92,2667,cluster0
93,1992,cluster0
94,990,cluster1
95,2908,cluster0
96,2518,cluster0
97,2724,cluster0
98,2574,cluster0
99,1042,cluster1
100,1304,cluster1
101,1104,cluster1
102,490,cluster1
103,490,cluster1
104,490,cluster1
105,490,cluster1
106,490,cluster1
107,490,cluster1
108,490,cluster1
109,490,cluster1
110,490,cluster1
111,490,cluster1
112,490,cluster1
113,490,cluster1
114,490,cluster1
115,490,cluster1
116,490,cluster1
117,490,cluster1
118,490,cluster1
119,490,cluster1
120,490,cluster1
121,490,cluster1
122,490,cluster1
123,490,cluster1
124,490,cluster1
125,490,cluster1
126,490,cluster1
127,490,cluster1
128,490,cluster1
129,490,cluster1
130,490,cluster1
131,490,cluster1
132,490,cluster1
133,490,cluster1
134,490,cluster1
135,490,cluster1
136,490,cluster1
137,490,cluster1
138,490,cluster1
139,490,cluster1
140,490,cluster1
141,490,cluster1
142,490,cluster1
143,490,cluster1
144,490,cluster1
145,490,cluster1
146,490,cluster1
147,490,cluster1
148,490,cluster1
149,490,cluster1
150,490,cluster1
151,490,cluster1
152,490,cluster1
153,490,cluster1
154,490,cluster1
155,490,cluster1
156,490,cluster1
157,490,cluster1
158,490,cluster1
159,490,cluster1
160,490,cluster1
161,490,cluster1
162,490,cluster1
163,490,cluster1
164,490,cluster1
165,490,cluster1
166,490,cluster1
167,490,cluster1
168,490,cluster1
169,490,cluster1
170,490,cluster1
171,490,cluster1
172,490,cluster1
173,490,cluster1
174,490,cluster1
175,490,cluster1
176,490,cluster1
177,490,cluster1
178,490,cluster1
179,490,cluster1
180,490,cluster1
181,490,cluster1
182,490,cluster1
183,490,cluster1
184,490,cluster1
185,490,cluster1
186,490,cluster1
187,490,cluster1
188,490,cluster1
189,490,cluster1
190,490,cluster1
191,490,cluster1
192,490,cluster1
193,490,cluster1
194,490,cluster1
195,490,cluster1
196,490,cluster1
197,490,cluster1
