@relation Tp-LinkT_51:33:ea_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,84,cluster0
1,84,cluster0
2,42,cluster1
3,84,cluster0
4,84,cluster0
5,126,cluster3
6,42,cluster1
7,84,cluster0
8,84,cluster0
9,84,cluster0
10,42,cluster1
11,126,cluster3
12,210,cluster2
13,42,cluster1
14,126,cluster3
15,84,cluster0
16,126,cluster3
17,126,cluster3
18,42,cluster1
19,84,cluster0
20,84,cluster0
21,84,cluster0
22,84,cluster0
23,84,cluster0
24,42,cluster1
25,84,cluster0
26,84,cluster0
27,84,cluster0
28,42,cluster1
29,84,cluster0
30,42,cluster1
31,126,cluster3
32,42,cluster1
33,42,cluster1
34,84,cluster0
35,42,cluster1
36,126,cluster3
37,168,cluster2
38,84,cluster0
39,42,cluster1
40,84,cluster0
41,126,cluster3
42,84,cluster0
43,42,cluster1
44,126,cluster3
45,168,cluster2
46,84,cluster0
47,126,cluster3
48,42,cluster1
49,84,cluster0
50,84,cluster0
51,84,cluster0
52,84,cluster0
53,84,cluster0
54,42,cluster1
55,42,cluster1
56,42,cluster1
57,84,cluster0
58,42,cluster1
59,42,cluster1
60,42,cluster1
61,84,cluster0
62,84,cluster0
63,42,cluster1
64,84,cluster0
65,42,cluster1
66,84,cluster0
67,42,cluster1
68,42,cluster1
69,84,cluster0
70,126,cluster3
71,126,cluster3
72,84,cluster0
73,84,cluster0
74,42,cluster1
75,84,cluster0
76,42,cluster1
77,84,cluster0
78,84,cluster0
79,42,cluster1
80,42,cluster1
81,84,cluster0
82,42,cluster1
83,42,cluster1
84,42,cluster1
85,42,cluster1
86,42,cluster1
87,42,cluster1
88,42,cluster1
89,84,cluster0
90,42,cluster1
91,42,cluster1
92,42,cluster1
93,42,cluster1
94,84,cluster0
95,42,cluster1
96,42,cluster1
97,84,cluster0
98,42,cluster1
99,42,cluster1
100,84,cluster0
101,84,cluster0
102,84,cluster0
103,84,cluster0
104,42,cluster1
105,84,cluster0
106,84,cluster0
107,84,cluster0
108,42,cluster1
109,42,cluster1
110,42,cluster1
111,42,cluster1
112,84,cluster0
113,42,cluster1
114,42,cluster1
115,42,cluster1
116,42,cluster1
117,42,cluster1
118,42,cluster1
119,42,cluster1
120,42,cluster1
121,42,cluster1
122,42,cluster1
123,84,cluster0
124,84,cluster0
125,42,cluster1
126,84,cluster0
127,42,cluster1
128,42,cluster1
129,42,cluster1
130,84,cluster0
131,84,cluster0
132,84,cluster0
133,84,cluster0
134,84,cluster0
135,42,cluster1
136,42,cluster1
137,84,cluster0
138,84,cluster0
139,42,cluster1
140,42,cluster1
141,84,cluster0
142,42,cluster1
143,42,cluster1
144,42,cluster1
145,42,cluster1
146,42,cluster1
147,42,cluster1
148,42,cluster1
149,84,cluster0
150,42,cluster1
151,84,cluster0
152,42,cluster1
153,42,cluster1
154,42,cluster1
155,42,cluster1
156,42,cluster1
157,42,cluster1
158,42,cluster1
159,42,cluster1
160,42,cluster1
161,42,cluster1
162,84,cluster0
163,84,cluster0
164,42,cluster1
165,42,cluster1
166,126,cluster3
167,84,cluster0
168,84,cluster0
169,42,cluster1
170,42,cluster1
171,42,cluster1
172,42,cluster1
173,42,cluster1
174,42,cluster1
175,42,cluster1
176,42,cluster1
177,42,cluster1
178,42,cluster1
179,42,cluster1
180,126,cluster3
181,42,cluster1
182,84,cluster0
183,84,cluster0
184,42,cluster1
185,42,cluster1
186,42,cluster1
187,42,cluster1
188,42,cluster1
189,42,cluster1
190,42,cluster1
191,84,cluster0
192,84,cluster0
193,84,cluster0
194,84,cluster0
195,42,cluster1
196,84,cluster0
197,84,cluster0
198,84,cluster0
199,42,cluster1
200,84,cluster0
201,42,cluster1
202,42,cluster1
203,42,cluster1
204,42,cluster1
205,42,cluster1
206,126,cluster3
207,126,cluster3
208,126,cluster3
209,42,cluster1
210,42,cluster1
211,42,cluster1
212,42,cluster1
213,42,cluster1
214,84,cluster0
215,42,cluster1
216,42,cluster1
217,84,cluster0
218,42,cluster1
219,42,cluster1
220,42,cluster1
221,84,cluster0
222,84,cluster0
223,84,cluster0
224,84,cluster0
225,42,cluster1
226,84,cluster0
227,84,cluster0
228,168,cluster2
229,84,cluster0
230,84,cluster0
231,84,cluster0
232,126,cluster3
233,42,cluster1
234,42,cluster1
235,42,cluster1
236,84,cluster0
237,42,cluster1
238,42,cluster1
239,84,cluster0
240,168,cluster2
241,42,cluster1
242,126,cluster3
243,126,cluster3
244,42,cluster1
245,42,cluster1
246,42,cluster1
247,42,cluster1
248,42,cluster1
249,42,cluster1
250,84,cluster0
251,42,cluster1
252,42,cluster1
253,84,cluster0
254,42,cluster1
255,84,cluster0
256,84,cluster0
257,84,cluster0
258,84,cluster0
259,84,cluster0
260,84,cluster0
261,84,cluster0
262,42,cluster1
263,42,cluster1
264,84,cluster0
265,84,cluster0
266,42,cluster1
267,126,cluster3
268,84,cluster0
269,84,cluster0
270,42,cluster1
271,42,cluster1
272,42,cluster1
273,42,cluster1
274,42,cluster1
275,84,cluster0
276,84,cluster0
277,126,cluster3
278,84,cluster0
279,126,cluster3
280,126,cluster3
281,42,cluster1
282,126,cluster3
283,84,cluster0
284,84,cluster0
285,126,cluster3
286,84,cluster0
287,42,cluster1
288,168,cluster2
289,42,cluster1
290,42,cluster1
291,42,cluster1
292,42,cluster1
293,42,cluster1
294,84,cluster0
295,126,cluster3
296,42,cluster1
297,42,cluster1
298,126,cluster3
299,84,cluster0
300,126,cluster3
301,126,cluster3
302,42,cluster1
303,168,cluster2
304,84,cluster0
305,42,cluster1
306,84,cluster0
307,42,cluster1
308,42,cluster1
309,42,cluster1
310,42,cluster1
311,84,cluster0
312,42,cluster1
313,42,cluster1
314,42,cluster1
315,126,cluster3
316,126,cluster3
317,42,cluster1
318,42,cluster1
319,84,cluster0
320,84,cluster0
321,84,cluster0
322,42,cluster1
323,84,cluster0
324,84,cluster0
325,84,cluster0
326,42,cluster1
327,42,cluster1
328,42,cluster1
329,42,cluster1
330,168,cluster2
331,126,cluster3
332,84,cluster0
333,84,cluster0
334,126,cluster3
335,126,cluster3
336,42,cluster1
337,126,cluster3
338,84,cluster0
339,42,cluster1
340,84,cluster0
341,84,cluster0
342,42,cluster1
343,84,cluster0
344,210,cluster2
345,84,cluster0
346,42,cluster1
347,42,cluster1
348,126,cluster3
349,42,cluster1
350,42,cluster1
351,42,cluster1
352,42,cluster1
353,42,cluster1
354,42,cluster1
355,42,cluster1
356,42,cluster1
357,42,cluster1
358,42,cluster1
359,42,cluster1
360,42,cluster1
361,84,cluster0
362,42,cluster1
363,84,cluster0
364,42,cluster1
365,42,cluster1
366,84,cluster0
367,84,cluster0
368,84,cluster0
369,84,cluster0
370,126,cluster3
371,126,cluster3
372,84,cluster0
373,84,cluster0
374,42,cluster1
375,126,cluster3
376,126,cluster3
377,126,cluster3
378,126,cluster3
379,42,cluster1
380,42,cluster1
381,42,cluster1
382,42,cluster1
383,42,cluster1
384,42,cluster1
385,42,cluster1
386,42,cluster1
387,42,cluster1
388,42,cluster1
389,42,cluster1
390,42,cluster1
391,42,cluster1
392,42,cluster1
393,84,cluster0
394,42,cluster1
395,42,cluster1
396,42,cluster1
397,42,cluster1
398,42,cluster1
399,42,cluster1
400,42,cluster1
401,42,cluster1
402,42,cluster1
403,42,cluster1
404,84,cluster0
405,84,cluster0
406,42,cluster1
407,168,cluster2
408,126,cluster3
409,42,cluster1
410,42,cluster1
411,126,cluster3
412,168,cluster2
413,126,cluster3
414,42,cluster1
415,42,cluster1
416,42,cluster1
417,42,cluster1
418,42,cluster1
419,42,cluster1
420,42,cluster1
421,42,cluster1
422,42,cluster1
423,42,cluster1
424,42,cluster1
425,42,cluster1
426,84,cluster0
427,84,cluster0
428,84,cluster0
429,84,cluster0
430,126,cluster3
431,168,cluster2
432,42,cluster1
433,84,cluster0
434,126,cluster3
435,126,cluster3
436,126,cluster3
437,126,cluster3
438,126,cluster3
439,126,cluster3
440,84,cluster0
441,126,cluster3
442,84,cluster0
443,42,cluster1
444,84,cluster0
445,42,cluster1
446,126,cluster3
447,126,cluster3
448,84,cluster0
449,168,cluster2
450,42,cluster1
451,168,cluster2
452,42,cluster1
453,84,cluster0
454,42,cluster1
455,84,cluster0
456,42,cluster1
457,42,cluster1
458,42,cluster1
459,84,cluster0
460,42,cluster1
461,84,cluster0
462,42,cluster1
463,84,cluster0
464,84,cluster0
465,84,cluster0
466,42,cluster1
467,42,cluster1
468,42,cluster1
469,42,cluster1
470,42,cluster1
471,84,cluster0
472,84,cluster0
473,42,cluster1
474,84,cluster0
475,42,cluster1
476,42,cluster1
477,42,cluster1
478,42,cluster1
479,42,cluster1
480,42,cluster1
481,84,cluster0
482,84,cluster0
483,42,cluster1
484,168,cluster2
485,84,cluster0
486,42,cluster1
487,42,cluster1
488,168,cluster2
489,42,cluster1
490,42,cluster1
491,42,cluster1
492,42,cluster1
493,42,cluster1
494,84,cluster0
495,42,cluster1
496,42,cluster1
497,42,cluster1
498,84,cluster0
499,84,cluster0
500,42,cluster1
501,42,cluster1
502,42,cluster1
503,84,cluster0
504,84,cluster0
505,42,cluster1
506,168,cluster2
507,84,cluster0
508,126,cluster3
509,84,cluster0
510,210,cluster2
511,84,cluster0
512,84,cluster0
513,84,cluster0
514,84,cluster0
515,84,cluster0
516,42,cluster1
517,42,cluster1
518,84,cluster0
519,42,cluster1
520,84,cluster0
521,84,cluster0
522,42,cluster1
523,42,cluster1
524,84,cluster0
525,126,cluster3
526,84,cluster0
527,42,cluster1
528,84,cluster0
529,42,cluster1
530,42,cluster1
531,84,cluster0
532,84,cluster0
533,84,cluster0
534,42,cluster1
535,42,cluster1
536,42,cluster1
537,84,cluster0
538,42,cluster1
539,42,cluster1
540,42,cluster1
541,126,cluster3
542,126,cluster3
543,84,cluster0
544,42,cluster1
545,84,cluster0
546,42,cluster1
547,84,cluster0
548,42,cluster1
549,42,cluster1
550,42,cluster1
551,42,cluster1
552,42,cluster1
553,42,cluster1
554,42,cluster1
555,42,cluster1
556,42,cluster1
557,42,cluster1
558,42,cluster1
559,84,cluster0
560,84,cluster0
561,42,cluster1
562,42,cluster1
563,42,cluster1
564,42,cluster1
565,42,cluster1
566,42,cluster1
567,42,cluster1
568,42,cluster1
569,84,cluster0
570,42,cluster1
571,42,cluster1
572,42,cluster1
573,84,cluster0
574,42,cluster1
575,168,cluster2
576,84,cluster0
577,84,cluster0
578,42,cluster1
579,42,cluster1
580,42,cluster1
581,42,cluster1
582,42,cluster1
583,42,cluster1
584,84,cluster0
585,84,cluster0
586,42,cluster1
587,84,cluster0
588,42,cluster1
589,84,cluster0
590,42,cluster1
591,42,cluster1
592,42,cluster1
593,42,cluster1
594,42,cluster1
595,42,cluster1
596,42,cluster1
597,42,cluster1
598,42,cluster1
599,84,cluster0
600,84,cluster0
601,84,cluster0
602,42,cluster1
603,84,cluster0
604,84,cluster0
605,42,cluster1
606,84,cluster0
607,42,cluster1
608,84,cluster0
609,42,cluster1
610,84,cluster0
611,42,cluster1
612,42,cluster1
613,42,cluster1
614,84,cluster0
615,42,cluster1
616,84,cluster0
