Instance_number,length,Cluster
0,6328,cluster0
1,339,cluster1
2,339,cluster1
3,434,cluster1
4,339,cluster1
5,339,cluster1
6,406,cluster1
7,339,cluster1
8,434,cluster1
9,406,cluster1
10,339,cluster1
11,501,cluster1
12,434,cluster1
13,406,cluster1
14,339,cluster1
15,339,cluster1
16,339,cluster1
17,339,cluster1
18,406,cluster1
19,339,cluster1
20,339,cluster1
21,339,cluster1
22,339,cluster1
23,339,cluster1
24,406,cluster1
25,339,cluster1
26,434,cluster1
27,434,cluster1
28,339,cluster1
29,339,cluster1
30,434,cluster1
31,339,cluster1
32,339,cluster1
33,339,cluster1
34,339,cluster1
35,339,cluster1
36,339,cluster1
37,339,cluster1
38,406,cluster1
39,339,cluster1
40,339,cluster1
41,339,cluster1
42,339,cluster1
43,339,cluster1
44,339,cluster1
45,339,cluster1
46,625,cluster1
47,339,cluster1
48,339,cluster1
49,406,cluster1
50,339,cluster1
51,339,cluster1
52,339,cluster1
53,339,cluster1
54,339,cluster1
55,339,cluster1
56,339,cluster1
57,339,cluster1
58,339,cluster1
59,339,cluster1
60,339,cluster1
61,352,cluster1
62,339,cluster1
63,339,cluster1
64,339,cluster1
65,339,cluster1
66,339,cluster1
67,406,cluster1
68,339,cluster1
69,216,cluster1
70,5458,cluster0
71,257,cluster1
72,257,cluster1
73,257,cluster1
74,257,cluster1
75,257,cluster1
76,393,cluster1
77,257,cluster1
78,257,cluster1
79,1250,cluster1
80,257,cluster1
81,257,cluster1
82,257,cluster1
83,257,cluster1
84,257,cluster1
85,257,cluster1
86,480,cluster1
87,257,cluster1
88,257,cluster1
89,257,cluster1
90,257,cluster1
91,257,cluster1
92,406,cluster1
93,257,cluster1
94,406,cluster1
95,257,cluster1
96,257,cluster1
97,393,cluster1
98,406,cluster1
99,257,cluster1
100,257,cluster1
101,406,cluster1
102,257,cluster1
103,406,cluster1
104,393,cluster1
105,257,cluster1
106,393,cluster1
107,393,cluster1
108,393,cluster1
109,257,cluster1
110,257,cluster1
111,406,cluster1
112,257,cluster1
113,257,cluster1
114,257,cluster1
115,257,cluster1
116,257,cluster1
117,257,cluster1
118,406,cluster1
119,257,cluster1
120,257,cluster1
121,406,cluster1
122,393,cluster1
123,257,cluster1
124,406,cluster1
125,257,cluster1
126,257,cluster1
127,257,cluster1
128,393,cluster1
129,393,cluster1
130,257,cluster1
131,393,cluster1
132,257,cluster1
133,257,cluster1
134,257,cluster1
135,257,cluster1
136,257,cluster1
137,257,cluster1
138,257,cluster1
139,311,cluster1
140,355,cluster1
141,5986,cluster0
142,542,cluster1
143,257,cluster1
144,406,cluster1
145,257,cluster1
146,393,cluster1
147,257,cluster1
148,257,cluster1
149,257,cluster1
150,257,cluster1
151,1107,cluster1
152,257,cluster1
153,406,cluster1
154,257,cluster1
155,257,cluster1
156,257,cluster1
157,257,cluster1
158,257,cluster1
159,257,cluster1
160,257,cluster1
161,257,cluster1
162,406,cluster1
163,393,cluster1
164,257,cluster1
165,298,cluster1
166,542,cluster1
167,257,cluster1
168,257,cluster1
169,257,cluster1
170,257,cluster1
171,257,cluster1
172,339,cluster1
173,555,cluster1
174,244,cluster1
175,555,cluster1
176,257,cluster1
177,257,cluster1
178,257,cluster1
179,298,cluster1
180,542,cluster1
181,257,cluster1
182,257,cluster1
183,257,cluster1
184,393,cluster1
185,257,cluster1
186,257,cluster1
187,257,cluster1
188,257,cluster1
189,542,cluster1
190,257,cluster1
191,257,cluster1
192,393,cluster1
193,257,cluster1
194,257,cluster1
195,393,cluster1
196,257,cluster1
197,406,cluster1
198,393,cluster1
199,257,cluster1
200,257,cluster1
201,257,cluster1
202,393,cluster1
203,406,cluster1
204,257,cluster1
205,257,cluster1
206,257,cluster1
207,406,cluster1
208,257,cluster1
209,257,cluster1
210,406,cluster1
211,311,cluster1
212,257,cluster1
213,406,cluster1
214,257,cluster1
215,406,cluster1
216,393,cluster1
217,6360,cluster0
218,257,cluster1
219,257,cluster1
220,257,cluster1
221,257,cluster1
222,393,cluster1
223,393,cluster1
224,406,cluster1
225,257,cluster1
226,1110,cluster1
227,257,cluster1
228,257,cluster1
229,257,cluster1
230,257,cluster1
231,406,cluster1
232,257,cluster1
233,406,cluster1
234,393,cluster1
235,393,cluster1
236,257,cluster1
237,257,cluster1
238,257,cluster1
239,257,cluster1
240,257,cluster1
241,257,cluster1
242,257,cluster1
243,257,cluster1
244,257,cluster1
245,406,cluster1
246,393,cluster1
247,257,cluster1
248,406,cluster1
249,257,cluster1
250,257,cluster1
251,257,cluster1
252,478,cluster1
253,406,cluster1
254,393,cluster1
255,257,cluster1
256,257,cluster1
257,393,cluster1
258,257,cluster1
259,257,cluster1
260,257,cluster1
261,257,cluster1
262,257,cluster1
263,393,cluster1
264,257,cluster1
265,257,cluster1
266,257,cluster1
267,393,cluster1
268,393,cluster1
269,393,cluster1
270,393,cluster1
271,257,cluster1
272,257,cluster1
273,406,cluster1
274,257,cluster1
275,257,cluster1
276,257,cluster1
277,257,cluster1
278,257,cluster1
279,257,cluster1
280,393,cluster1
281,393,cluster1
282,393,cluster1
283,257,cluster1
284,393,cluster1
285,257,cluster1
286,447,cluster1
287,257,cluster1
288,257,cluster1
289,216,cluster1
290,6239,cluster0
291,1315,cluster1
292,434,cluster1
293,339,cluster1
294,339,cluster1
295,339,cluster1
296,339,cluster1
297,339,cluster1
298,339,cluster1
299,339,cluster1
300,434,cluster1
301,501,cluster1
302,339,cluster1
303,339,cluster1
304,339,cluster1
305,339,cluster1
306,339,cluster1
307,339,cluster1
308,339,cluster1
309,339,cluster1
310,339,cluster1
311,339,cluster1
312,352,cluster1
313,406,cluster1
314,339,cluster1
315,339,cluster1
316,406,cluster1
317,339,cluster1
318,339,cluster1
319,434,cluster1
320,339,cluster1
321,339,cluster1
322,339,cluster1
323,339,cluster1
324,339,cluster1
325,339,cluster1
326,339,cluster1
327,339,cluster1
328,339,cluster1
329,339,cluster1
