Instance_number,length,Cluster
0,84,cluster0
1,84,cluster0
2,84,cluster0
3,84,cluster0
4,84,cluster0
5,84,cluster0
6,42,cluster1
7,126,cluster0
8,84,cluster0
9,126,cluster0
10,126,cluster0
11,42,cluster1
12,84,cluster0
13,42,cluster1
14,42,cluster1
15,42,cluster1
16,42,cluster1
17,84,cluster0
18,42,cluster1
19,42,cluster1
20,42,cluster1
21,42,cluster1
22,84,cluster0
23,126,cluster0
24,126,cluster0
25,126,cluster0
26,84,cluster0
27,42,cluster1
28,42,cluster1
29,84,cluster0
30,84,cluster0
31,84,cluster0
32,84,cluster0
33,84,cluster0
34,84,cluster0
35,84,cluster0
36,42,cluster1
37,42,cluster1
38,42,cluster1
39,42,cluster1
40,42,cluster1
41,84,cluster0
42,84,cluster0
43,168,cluster0
44,42,cluster1
45,42,cluster1
46,84,cluster0
47,84,cluster0
48,84,cluster0
49,42,cluster1
50,42,cluster1
51,42,cluster1
52,42,cluster1
53,42,cluster1
54,42,cluster1
55,42,cluster1
56,126,cluster0
57,126,cluster0
58,84,cluster0
59,42,cluster1
60,84,cluster0
61,126,cluster0
62,42,cluster1
63,126,cluster0
64,126,cluster0
65,84,cluster0
66,126,cluster0
67,126,cluster0
68,84,cluster0
69,210,cluster0
70,126,cluster0
71,84,cluster0
72,84,cluster0
73,168,cluster0
74,84,cluster0
75,84,cluster0
76,84,cluster0
77,42,cluster1
78,84,cluster0
79,42,cluster1
80,42,cluster1
81,42,cluster1
82,84,cluster0
83,42,cluster1
84,84,cluster0
85,42,cluster1
86,42,cluster1
87,42,cluster1
88,42,cluster1
89,84,cluster0
90,42,cluster1
91,42,cluster1
92,42,cluster1
93,42,cluster1
94,42,cluster1
95,42,cluster1
96,84,cluster0
97,84,cluster0
98,84,cluster0
99,84,cluster0
100,84,cluster0
101,84,cluster0
102,42,cluster1
103,84,cluster0
104,84,cluster0
105,84,cluster0
106,42,cluster1
107,42,cluster1
108,84,cluster0
109,42,cluster1
110,42,cluster1
111,42,cluster1
112,42,cluster1
113,42,cluster1
114,42,cluster1
115,42,cluster1
116,42,cluster1
117,84,cluster0
118,42,cluster1
119,42,cluster1
120,42,cluster1
121,42,cluster1
122,42,cluster1
123,42,cluster1
124,84,cluster0
125,42,cluster1
126,84,cluster0
127,84,cluster0
128,126,cluster0
129,126,cluster0
130,42,cluster1
131,42,cluster1
132,42,cluster1
133,42,cluster1
134,42,cluster1
135,42,cluster1
136,42,cluster1
137,42,cluster1
138,42,cluster1
139,84,cluster0
140,42,cluster1
141,42,cluster1
142,42,cluster1
143,42,cluster1
144,42,cluster1
145,42,cluster1
146,42,cluster1
147,42,cluster1
148,42,cluster1
149,42,cluster1
150,42,cluster1
151,42,cluster1
152,42,cluster1
153,84,cluster0
154,42,cluster1
155,42,cluster1
156,42,cluster1
157,84,cluster0
158,42,cluster1
159,42,cluster1
160,84,cluster0
161,42,cluster1
162,42,cluster1
163,84,cluster0
164,84,cluster0
165,84,cluster0
166,84,cluster0
167,84,cluster0
168,84,cluster0
169,84,cluster0
170,42,cluster1
171,42,cluster1
172,84,cluster0
173,42,cluster1
174,42,cluster1
175,42,cluster1
176,42,cluster1
177,42,cluster1
178,42,cluster1
179,42,cluster1
180,126,cluster0
181,168,cluster0
182,126,cluster0
183,126,cluster0
184,126,cluster0
185,126,cluster0
186,42,cluster1
187,42,cluster1
188,42,cluster1
189,42,cluster1
190,42,cluster1
191,42,cluster1
192,42,cluster1
193,42,cluster1
194,42,cluster1
195,42,cluster1
196,42,cluster1
197,42,cluster1
198,42,cluster1
199,42,cluster1
200,84,cluster0
201,126,cluster0
202,126,cluster0
203,84,cluster0
204,126,cluster0
205,42,cluster1
206,42,cluster1
207,126,cluster0
208,126,cluster0
209,126,cluster0
210,42,cluster1
211,42,cluster1
212,42,cluster1
213,42,cluster1
214,42,cluster1
215,42,cluster1
216,126,cluster0
217,84,cluster0
218,168,cluster0
219,84,cluster0
220,84,cluster0
221,42,cluster1
222,84,cluster0
223,42,cluster1
224,42,cluster1
225,84,cluster0
226,84,cluster0
227,42,cluster1
228,84,cluster0
229,126,cluster0
230,42,cluster1
231,42,cluster1
232,42,cluster1
233,42,cluster1
234,42,cluster1
235,42,cluster1
236,42,cluster1
237,42,cluster1
238,42,cluster1
239,42,cluster1
240,42,cluster1
241,42,cluster1
242,42,cluster1
243,42,cluster1
244,42,cluster1
245,42,cluster1
246,84,cluster0
247,42,cluster1
248,84,cluster0
249,42,cluster1
250,42,cluster1
251,126,cluster0
252,42,cluster1
253,126,cluster0
254,126,cluster0
255,84,cluster0
256,84,cluster0
257,84,cluster0
258,42,cluster1
259,42,cluster1
260,84,cluster0
261,42,cluster1
262,84,cluster0
263,42,cluster1
264,42,cluster1
265,42,cluster1
266,42,cluster1
267,42,cluster1
268,42,cluster1
269,42,cluster1
270,42,cluster1
271,42,cluster1
272,126,cluster0
273,42,cluster1
274,42,cluster1
275,42,cluster1
276,42,cluster1
277,84,cluster0
278,84,cluster0
279,126,cluster0
280,126,cluster0
281,84,cluster0
282,168,cluster0
283,210,cluster0
284,168,cluster0
285,84,cluster0
286,42,cluster1
287,42,cluster1
288,42,cluster1
289,42,cluster1
290,126,cluster0
291,42,cluster1
292,84,cluster0
293,84,cluster0
294,42,cluster1
295,42,cluster1
296,42,cluster1
297,42,cluster1
298,42,cluster1
299,84,cluster0
300,42,cluster1
301,42,cluster1
302,42,cluster1
303,42,cluster1
304,42,cluster1
305,42,cluster1
306,42,cluster1
307,84,cluster0
308,42,cluster1
309,42,cluster1
310,42,cluster1
311,42,cluster1
312,42,cluster1
313,42,cluster1
314,42,cluster1
315,42,cluster1
316,42,cluster1
317,42,cluster1
318,84,cluster0
319,42,cluster1
320,42,cluster1
321,84,cluster0
322,42,cluster1
323,42,cluster1
324,42,cluster1
325,84,cluster0
326,84,cluster0
327,84,cluster0
328,42,cluster1
329,84,cluster0
330,126,cluster0
331,84,cluster0
332,126,cluster0
333,126,cluster0
334,84,cluster0
335,84,cluster0
336,168,cluster0
337,126,cluster0
338,84,cluster0
339,126,cluster0
340,84,cluster0
341,84,cluster0
342,84,cluster0
343,84,cluster0
344,42,cluster1
345,42,cluster1
346,42,cluster1
347,84,cluster0
348,42,cluster1
349,42,cluster1
350,84,cluster0
351,84,cluster0
352,126,cluster0
353,84,cluster0
354,84,cluster0
355,42,cluster1
356,84,cluster0
357,42,cluster1
358,42,cluster1
359,42,cluster1
360,42,cluster1
361,42,cluster1
362,42,cluster1
363,84,cluster0
364,42,cluster1
365,126,cluster0
366,84,cluster0
367,84,cluster0
368,84,cluster0
369,168,cluster0
370,84,cluster0
371,42,cluster1
372,42,cluster1
373,42,cluster1
374,42,cluster1
375,84,cluster0
376,126,cluster0
377,126,cluster0
378,126,cluster0
379,84,cluster0
380,168,cluster0
381,168,cluster0
382,126,cluster0
383,126,cluster0
384,126,cluster0
385,42,cluster1
386,84,cluster0
387,42,cluster1
388,42,cluster1
389,42,cluster1
390,42,cluster1
391,42,cluster1
392,42,cluster1
393,42,cluster1
394,42,cluster1
395,42,cluster1
396,42,cluster1
397,42,cluster1
398,42,cluster1
399,42,cluster1
400,42,cluster1
401,42,cluster1
402,42,cluster1
403,42,cluster1
404,42,cluster1
405,84,cluster0
406,84,cluster0
407,84,cluster0
408,84,cluster0
409,42,cluster1
410,42,cluster1
411,84,cluster0
412,42,cluster1
413,84,cluster0
414,84,cluster0
415,84,cluster0
416,42,cluster1
417,84,cluster0
418,84,cluster0
419,126,cluster0
420,42,cluster1
421,42,cluster1
422,42,cluster1
423,42,cluster1
424,42,cluster1
425,84,cluster0
426,126,cluster0
427,126,cluster0
428,84,cluster0
429,84,cluster0
430,84,cluster0
431,126,cluster0
432,84,cluster0
433,126,cluster0
434,84,cluster0
435,126,cluster0
436,84,cluster0
437,126,cluster0
438,84,cluster0
439,42,cluster1
440,84,cluster0
441,42,cluster1
442,42,cluster1
443,42,cluster1
444,42,cluster1
445,42,cluster1
446,42,cluster1
447,42,cluster1
448,42,cluster1
449,42,cluster1
450,42,cluster1
451,84,cluster0
452,42,cluster1
453,42,cluster1
454,42,cluster1
455,42,cluster1
456,42,cluster1
457,42,cluster1
458,42,cluster1
459,84,cluster0
460,84,cluster0
461,126,cluster0
462,168,cluster0
463,168,cluster0
464,84,cluster0
465,126,cluster0
466,84,cluster0
467,84,cluster0
468,84,cluster0
469,42,cluster1
470,84,cluster0
471,84,cluster0
472,84,cluster0
473,84,cluster0
474,42,cluster1
475,42,cluster1
476,42,cluster1
477,84,cluster0
478,84,cluster0
479,42,cluster1
480,84,cluster0
481,42,cluster1
482,42,cluster1
483,42,cluster1
484,42,cluster1
485,42,cluster1
486,42,cluster1
487,42,cluster1
488,84,cluster0
489,42,cluster1
490,42,cluster1
491,42,cluster1
492,42,cluster1
493,42,cluster1
494,42,cluster1
495,42,cluster1
496,42,cluster1
497,42,cluster1
498,42,cluster1
499,42,cluster1
500,42,cluster1
501,42,cluster1
502,84,cluster0
503,42,cluster1
504,42,cluster1
505,84,cluster0
506,126,cluster0
507,84,cluster0
508,126,cluster0
509,210,cluster0
510,84,cluster0
511,42,cluster1
512,84,cluster0
513,42,cluster1
514,42,cluster1
515,84,cluster0
516,42,cluster1
517,84,cluster0
518,84,cluster0
519,42,cluster1
520,84,cluster0
521,42,cluster1
522,84,cluster0
523,42,cluster1
524,84,cluster0
525,126,cluster0
526,168,cluster0
527,42,cluster1
528,126,cluster0
529,42,cluster1
530,126,cluster0
531,126,cluster0
532,126,cluster0
533,84,cluster0
534,126,cluster0
535,84,cluster0
536,84,cluster0
537,84,cluster0
538,84,cluster0
539,42,cluster1
540,84,cluster0
541,42,cluster1
542,42,cluster1
543,42,cluster1
544,42,cluster1
545,42,cluster1
546,126,cluster0
547,42,cluster1
548,42,cluster1
549,42,cluster1
550,42,cluster1
551,84,cluster0
552,84,cluster0
553,84,cluster0
554,84,cluster0
555,42,cluster1
556,42,cluster1
557,42,cluster1
558,84,cluster0
559,42,cluster1
560,84,cluster0
561,84,cluster0
562,126,cluster0
563,126,cluster0
564,84,cluster0
565,84,cluster0
566,84,cluster0
567,126,cluster0
568,84,cluster0
569,210,cluster0
570,42,cluster1
571,126,cluster0
572,126,cluster0
573,42,cluster1
574,84,cluster0
575,84,cluster0
576,42,cluster1
577,42,cluster1
578,42,cluster1
579,42,cluster1
580,84,cluster0
581,126,cluster0
582,84,cluster0
583,84,cluster0
584,84,cluster0
585,42,cluster1
586,42,cluster1
587,42,cluster1
588,84,cluster0
589,42,cluster1
590,84,cluster0
591,42,cluster1
592,42,cluster1
593,84,cluster0
594,42,cluster1
595,42,cluster1
596,84,cluster0
597,84,cluster0
598,84,cluster0
599,84,cluster0
600,42,cluster1
601,84,cluster0
602,42,cluster1
603,42,cluster1
604,42,cluster1
605,42,cluster1
606,42,cluster1
607,84,cluster0
608,42,cluster1
609,84,cluster0
610,42,cluster1
611,42,cluster1
612,42,cluster1
613,42,cluster1
614,84,cluster0
615,42,cluster1
616,84,cluster0
617,42,cluster1
618,84,cluster0
619,84,cluster0
620,84,cluster0
621,42,cluster1
622,126,cluster0
623,42,cluster1
