@relation Tp-LinkT_51:33:e9_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,113,cluster1
1,113,cluster1
2,113,cluster1
3,113,cluster1
4,113,cluster1
5,113,cluster1
6,113,cluster1
7,113,cluster1
8,113,cluster1
9,113,cluster1
10,113,cluster1
11,113,cluster1
12,113,cluster1
13,113,cluster1
14,113,cluster1
15,113,cluster1
16,113,cluster1
17,113,cluster1
18,113,cluster1
19,113,cluster1
20,113,cluster1
21,113,cluster1
22,113,cluster1
23,113,cluster1
24,113,cluster1
25,113,cluster1
26,113,cluster1
27,113,cluster1
28,113,cluster1
29,113,cluster1
30,113,cluster1
31,113,cluster1
32,113,cluster1
33,113,cluster1
34,113,cluster1
35,113,cluster1
36,113,cluster1
37,113,cluster1
38,113,cluster1
39,113,cluster1
40,113,cluster1
41,113,cluster1
42,113,cluster1
43,113,cluster1
44,113,cluster1
45,113,cluster1
46,113,cluster1
47,113,cluster1
48,113,cluster1
49,113,cluster1
50,113,cluster1
51,113,cluster1
52,113,cluster1
53,113,cluster1
54,113,cluster1
55,113,cluster1
56,113,cluster1
57,113,cluster1
58,113,cluster1
59,113,cluster1
60,113,cluster1
61,113,cluster1
62,113,cluster1
63,113,cluster1
64,113,cluster1
65,113,cluster1
66,113,cluster1
67,113,cluster1
68,113,cluster1
69,135,cluster1
70,226,cluster0
71,113,cluster1
72,113,cluster1
73,113,cluster1
74,113,cluster1
75,113,cluster1
76,113,cluster1
77,113,cluster1
78,113,cluster1
79,113,cluster1
80,113,cluster1
81,113,cluster1
82,113,cluster1
83,113,cluster1
84,113,cluster1
85,113,cluster1
86,113,cluster1
87,113,cluster1
88,113,cluster1
89,113,cluster1
90,113,cluster1
91,113,cluster1
92,113,cluster1
93,113,cluster1
94,113,cluster1
95,113,cluster1
96,113,cluster1
97,113,cluster1
98,113,cluster1
99,113,cluster1
100,113,cluster1
101,113,cluster1
102,113,cluster1
103,113,cluster1
104,113,cluster1
105,113,cluster1
106,113,cluster1
107,113,cluster1
108,113,cluster1
109,113,cluster1
110,113,cluster1
111,113,cluster1
112,113,cluster1
113,113,cluster1
114,113,cluster1
115,113,cluster1
116,113,cluster1
117,113,cluster1
118,113,cluster1
119,113,cluster1
120,113,cluster1
121,113,cluster1
122,113,cluster1
123,113,cluster1
124,113,cluster1
125,113,cluster1
126,113,cluster1
127,113,cluster1
128,113,cluster1
129,113,cluster1
130,113,cluster1
131,113,cluster1
132,113,cluster1
133,113,cluster1
134,113,cluster1
135,113,cluster1
136,113,cluster1
137,113,cluster1
138,113,cluster1
139,113,cluster1
140,113,cluster1
141,113,cluster1
142,113,cluster1
