@relation Tp-LinkT_51:33:ea_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,84,cluster0
1,42,cluster1
2,42,cluster1
3,42,cluster1
4,42,cluster1
5,84,cluster0
6,84,cluster0
7,42,cluster1
8,42,cluster1
9,42,cluster1
10,42,cluster1
11,42,cluster1
12,42,cluster1
13,42,cluster1
14,42,cluster1
15,126,cluster0
16,84,cluster0
17,84,cluster0
18,42,cluster1
19,84,cluster0
20,42,cluster1
21,42,cluster1
22,84,cluster0
23,42,cluster1
24,42,cluster1
25,84,cluster0
26,42,cluster1
27,84,cluster0
28,42,cluster1
29,84,cluster0
30,42,cluster1
31,42,cluster1
32,42,cluster1
33,84,cluster0
34,42,cluster1
35,42,cluster1
36,42,cluster1
37,42,cluster1
38,42,cluster1
39,42,cluster1
40,84,cluster0
41,84,cluster0
42,168,cluster0
43,168,cluster0
44,84,cluster0
45,42,cluster1
46,84,cluster0
47,42,cluster1
48,42,cluster1
49,42,cluster1
50,84,cluster0
51,42,cluster1
52,42,cluster1
53,42,cluster1
54,42,cluster1
55,42,cluster1
56,42,cluster1
57,42,cluster1
58,42,cluster1
59,42,cluster1
60,126,cluster0
61,126,cluster0
62,126,cluster0
63,126,cluster0
64,42,cluster1
65,84,cluster0
66,42,cluster1
67,42,cluster1
68,42,cluster1
69,42,cluster1
70,126,cluster0
71,42,cluster1
72,42,cluster1
73,168,cluster0
74,168,cluster0
75,126,cluster0
76,84,cluster0
77,126,cluster0
78,168,cluster0
79,126,cluster0
80,84,cluster0
81,84,cluster0
82,126,cluster0
83,126,cluster0
84,84,cluster0
85,42,cluster1
86,42,cluster1
87,42,cluster1
88,42,cluster1
89,42,cluster1
90,84,cluster0
91,42,cluster1
92,42,cluster1
93,42,cluster1
94,42,cluster1
95,84,cluster0
96,84,cluster0
97,84,cluster0
98,84,cluster0
99,42,cluster1
100,168,cluster0
101,42,cluster1
102,84,cluster0
103,84,cluster0
104,84,cluster0
105,84,cluster0
106,84,cluster0
107,84,cluster0
108,84,cluster0
109,42,cluster1
110,42,cluster1
111,42,cluster1
112,42,cluster1
113,42,cluster1
114,42,cluster1
115,126,cluster0
116,126,cluster0
117,126,cluster0
118,126,cluster0
119,84,cluster0
120,42,cluster1
121,42,cluster1
122,42,cluster1
123,42,cluster1
124,42,cluster1
125,42,cluster1
126,42,cluster1
127,42,cluster1
128,42,cluster1
129,84,cluster0
130,84,cluster0
131,168,cluster0
132,84,cluster0
133,126,cluster0
134,126,cluster0
135,84,cluster0
136,42,cluster1
137,84,cluster0
138,126,cluster0
139,42,cluster1
140,84,cluster0
141,84,cluster0
142,84,cluster0
143,84,cluster0
144,84,cluster0
145,84,cluster0
146,42,cluster1
147,84,cluster0
148,84,cluster0
149,42,cluster1
150,42,cluster1
151,42,cluster1
152,42,cluster1
153,42,cluster1
154,42,cluster1
155,42,cluster1
156,42,cluster1
157,42,cluster1
158,42,cluster1
159,42,cluster1
160,42,cluster1
161,42,cluster1
162,42,cluster1
163,42,cluster1
164,42,cluster1
165,84,cluster0
166,42,cluster1
167,42,cluster1
168,42,cluster1
169,42,cluster1
170,42,cluster1
171,42,cluster1
172,42,cluster1
173,42,cluster1
174,42,cluster1
175,84,cluster0
176,84,cluster0
177,84,cluster0
178,84,cluster0
179,84,cluster0
180,84,cluster0
181,84,cluster0
182,84,cluster0
183,84,cluster0
184,84,cluster0
185,42,cluster1
186,84,cluster0
187,42,cluster1
188,42,cluster1
189,84,cluster0
190,42,cluster1
191,84,cluster0
192,126,cluster0
193,168,cluster0
194,126,cluster0
195,42,cluster1
196,168,cluster0
197,210,cluster0
198,84,cluster0
199,126,cluster0
200,42,cluster1
201,42,cluster1
202,126,cluster0
203,42,cluster1
204,42,cluster1
205,84,cluster0
206,84,cluster0
207,42,cluster1
208,126,cluster0
209,126,cluster0
210,84,cluster0
211,84,cluster0
212,42,cluster1
213,84,cluster0
214,42,cluster1
215,126,cluster0
216,84,cluster0
217,126,cluster0
218,42,cluster1
219,84,cluster0
220,84,cluster0
221,126,cluster0
222,126,cluster0
223,168,cluster0
224,126,cluster0
225,42,cluster1
226,84,cluster0
227,42,cluster1
228,42,cluster1
229,42,cluster1
230,126,cluster0
231,126,cluster0
232,84,cluster0
233,84,cluster0
234,126,cluster0
235,168,cluster0
236,84,cluster0
237,84,cluster0
238,168,cluster0
239,168,cluster0
240,84,cluster0
241,42,cluster1
242,42,cluster1
243,42,cluster1
244,126,cluster0
245,84,cluster0
246,84,cluster0
247,84,cluster0
248,126,cluster0
249,126,cluster0
250,84,cluster0
251,84,cluster0
252,84,cluster0
253,84,cluster0
254,84,cluster0
255,42,cluster1
256,126,cluster0
257,42,cluster1
258,42,cluster1
259,42,cluster1
260,126,cluster0
261,126,cluster0
262,168,cluster0
263,126,cluster0
264,126,cluster0
265,84,cluster0
266,42,cluster1
267,42,cluster1
268,42,cluster1
269,42,cluster1
270,84,cluster0
271,42,cluster1
272,42,cluster1
273,84,cluster0
274,84,cluster0
275,84,cluster0
276,42,cluster1
277,42,cluster1
278,42,cluster1
279,84,cluster0
280,42,cluster1
281,84,cluster0
282,84,cluster0
283,84,cluster0
284,84,cluster0
285,84,cluster0
286,42,cluster1
287,42,cluster1
288,42,cluster1
289,84,cluster0
290,42,cluster1
291,42,cluster1
292,84,cluster0
293,42,cluster1
294,42,cluster1
295,84,cluster0
296,84,cluster0
297,84,cluster0
298,42,cluster1
299,84,cluster0
300,168,cluster0
301,168,cluster0
302,126,cluster0
303,126,cluster0
304,126,cluster0
305,126,cluster0
306,84,cluster0
307,84,cluster0
308,84,cluster0
309,84,cluster0
310,42,cluster1
311,84,cluster0
312,42,cluster1
313,42,cluster1
314,42,cluster1
315,84,cluster0
316,84,cluster0
317,84,cluster0
318,84,cluster0
319,84,cluster0
320,42,cluster1
321,42,cluster1
322,42,cluster1
323,42,cluster1
324,42,cluster1
325,84,cluster0
326,42,cluster1
327,84,cluster0
328,42,cluster1
329,84,cluster0
330,42,cluster1
331,42,cluster1
332,42,cluster1
333,42,cluster1
334,42,cluster1
335,84,cluster0
336,42,cluster1
337,42,cluster1
338,42,cluster1
339,84,cluster0
340,42,cluster1
341,42,cluster1
342,84,cluster0
343,42,cluster1
344,42,cluster1
345,42,cluster1
346,126,cluster0
347,84,cluster0
348,84,cluster0
349,84,cluster0
350,42,cluster1
351,126,cluster0
352,84,cluster0
353,84,cluster0
354,168,cluster0
355,126,cluster0
356,42,cluster1
357,84,cluster0
358,126,cluster0
359,42,cluster1
360,42,cluster1
361,84,cluster0
362,42,cluster1
363,42,cluster1
364,42,cluster1
365,84,cluster0
366,84,cluster0
367,168,cluster0
368,126,cluster0
369,84,cluster0
370,42,cluster1
371,42,cluster1
372,42,cluster1
373,42,cluster1
374,42,cluster1
375,42,cluster1
376,84,cluster0
377,42,cluster1
378,42,cluster1
379,84,cluster0
380,84,cluster0
381,42,cluster1
382,84,cluster0
383,84,cluster0
384,84,cluster0
385,84,cluster0
386,84,cluster0
387,84,cluster0
388,84,cluster0
389,84,cluster0
390,84,cluster0
391,168,cluster0
392,168,cluster0
393,126,cluster0
394,126,cluster0
395,126,cluster0
396,84,cluster0
397,42,cluster1
398,84,cluster0
399,84,cluster0
400,42,cluster1
401,42,cluster1
402,42,cluster1
403,84,cluster0
404,42,cluster1
405,84,cluster0
406,42,cluster1
407,42,cluster1
408,84,cluster0
409,84,cluster0
410,126,cluster0
411,42,cluster1
412,84,cluster0
413,42,cluster1
414,42,cluster1
415,42,cluster1
416,42,cluster1
417,42,cluster1
418,84,cluster0
419,126,cluster0
420,126,cluster0
421,84,cluster0
422,84,cluster0
423,84,cluster0
424,42,cluster1
425,42,cluster1
426,84,cluster0
427,84,cluster0
428,42,cluster1
429,42,cluster1
430,42,cluster1
431,42,cluster1
432,42,cluster1
433,42,cluster1
434,42,cluster1
435,42,cluster1
436,42,cluster1
437,42,cluster1
438,42,cluster1
439,42,cluster1
440,42,cluster1
441,84,cluster0
442,42,cluster1
443,84,cluster0
444,84,cluster0
445,84,cluster0
446,84,cluster0
447,84,cluster0
448,84,cluster0
449,84,cluster0
450,84,cluster0
451,84,cluster0
452,84,cluster0
453,42,cluster1
454,42,cluster1
455,42,cluster1
456,84,cluster0
457,42,cluster1
458,168,cluster0
459,168,cluster0
460,84,cluster0
461,126,cluster0
462,84,cluster0
463,42,cluster1
464,42,cluster1
465,42,cluster1
466,42,cluster1
467,42,cluster1
468,42,cluster1
469,42,cluster1
470,42,cluster1
471,42,cluster1
472,42,cluster1
473,126,cluster0
474,42,cluster1
475,42,cluster1
476,42,cluster1
477,84,cluster0
478,126,cluster0
479,42,cluster1
480,126,cluster0
481,126,cluster0
482,210,cluster0
483,42,cluster1
484,84,cluster0
485,126,cluster0
486,84,cluster0
487,168,cluster0
488,126,cluster0
489,84,cluster0
490,84,cluster0
491,84,cluster0
492,126,cluster0
493,42,cluster1
494,42,cluster1
495,42,cluster1
496,84,cluster0
497,42,cluster1
498,42,cluster1
499,210,cluster0
500,168,cluster0
501,84,cluster0
502,84,cluster0
503,84,cluster0
504,84,cluster0
505,84,cluster0
506,84,cluster0
507,84,cluster0
508,168,cluster0
509,168,cluster0
510,84,cluster0
511,126,cluster0
512,84,cluster0
513,42,cluster1
514,42,cluster1
515,42,cluster1
516,42,cluster1
517,42,cluster1
518,42,cluster1
519,84,cluster0
520,84,cluster0
521,42,cluster1
522,42,cluster1
523,84,cluster0
524,168,cluster0
525,126,cluster0
526,168,cluster0
527,126,cluster0
528,42,cluster1
529,42,cluster1
530,42,cluster1
531,42,cluster1
532,84,cluster0
533,42,cluster1
534,42,cluster1
535,84,cluster0
536,84,cluster0
537,84,cluster0
538,84,cluster0
539,84,cluster0
540,84,cluster0
541,84,cluster0
542,84,cluster0
543,42,cluster1
544,84,cluster0
545,42,cluster1
546,42,cluster1
547,42,cluster1
548,42,cluster1
549,42,cluster1
550,42,cluster1
551,42,cluster1
552,42,cluster1
553,42,cluster1
554,84,cluster0
555,42,cluster1
556,42,cluster1
557,84,cluster0
558,84,cluster0
559,84,cluster0
560,42,cluster1
561,42,cluster1
562,42,cluster1
563,84,cluster0
564,126,cluster0
565,84,cluster0
566,126,cluster0
567,84,cluster0
568,84,cluster0
569,84,cluster0
570,84,cluster0
571,84,cluster0
572,84,cluster0
573,42,cluster1
574,42,cluster1
575,42,cluster1
576,42,cluster1
577,42,cluster1
578,84,cluster0
579,42,cluster1
580,42,cluster1
581,42,cluster1
582,42,cluster1
583,42,cluster1
584,84,cluster0
585,42,cluster1
586,42,cluster1
587,42,cluster1
588,168,cluster0
589,126,cluster0
590,84,cluster0
591,42,cluster1
592,126,cluster0
593,126,cluster0
594,84,cluster0
595,84,cluster0
596,168,cluster0
597,126,cluster0
598,84,cluster0
599,42,cluster1
600,84,cluster0
601,84,cluster0
602,84,cluster0
603,84,cluster0
604,126,cluster0
605,84,cluster0
606,126,cluster0
607,126,cluster0
608,42,cluster1
609,84,cluster0
610,42,cluster1
611,42,cluster1
612,42,cluster1
613,42,cluster1
614,126,cluster0
615,168,cluster0
616,168,cluster0
617,126,cluster0
618,84,cluster0
619,84,cluster0
620,84,cluster0
621,84,cluster0
622,84,cluster0
623,84,cluster0
624,84,cluster0
625,42,cluster1
626,84,cluster0
627,84,cluster0
628,84,cluster0
629,126,cluster0
630,84,cluster0
631,84,cluster0
632,84,cluster0
633,42,cluster1
634,42,cluster1
635,42,cluster1
636,84,cluster0
637,84,cluster0
638,126,cluster0
639,126,cluster0
640,84,cluster0
641,126,cluster0
642,126,cluster0
643,42,cluster1
644,42,cluster1
645,42,cluster1
646,42,cluster1
647,84,cluster0
648,42,cluster1
649,42,cluster1
650,42,cluster1
651,42,cluster1
652,42,cluster1
653,42,cluster1
654,42,cluster1
655,42,cluster1
656,42,cluster1
657,84,cluster0
658,42,cluster1
659,168,cluster0
660,126,cluster0
661,168,cluster0
662,168,cluster0
663,42,cluster1
664,42,cluster1
665,42,cluster1
666,42,cluster1
667,42,cluster1
668,42,cluster1
669,42,cluster1
670,42,cluster1
671,84,cluster0
672,84,cluster0
673,42,cluster1
674,42,cluster1
675,42,cluster1
676,42,cluster1
677,42,cluster1
678,84,cluster0
679,42,cluster1
680,84,cluster0
681,42,cluster1
682,42,cluster1
683,126,cluster0
684,84,cluster0
685,126,cluster0
686,126,cluster0
687,126,cluster0
688,42,cluster1
689,42,cluster1
690,42,cluster1
691,42,cluster1
692,42,cluster1
693,42,cluster1
694,126,cluster0
695,126,cluster0
696,126,cluster0
697,84,cluster0
698,84,cluster0
699,210,cluster0
700,126,cluster0
701,126,cluster0
702,84,cluster0
703,84,cluster0
704,42,cluster1
705,42,cluster1
706,42,cluster1
707,42,cluster1
708,42,cluster1
709,42,cluster1
710,42,cluster1
711,42,cluster1
712,42,cluster1
713,42,cluster1
714,84,cluster0
715,42,cluster1
716,42,cluster1
717,126,cluster0
718,42,cluster1
719,42,cluster1
720,84,cluster0
721,42,cluster1
722,126,cluster0
723,42,cluster1
724,42,cluster1
725,42,cluster1
726,84,cluster0
727,42,cluster1
728,42,cluster1
729,84,cluster0
730,42,cluster1
731,42,cluster1
732,84,cluster0
733,168,cluster0
734,84,cluster0
735,42,cluster1
736,42,cluster1
737,84,cluster0
738,42,cluster1
739,126,cluster0
740,210,cluster0
741,84,cluster0
742,126,cluster0
743,42,cluster1
744,42,cluster1
745,84,cluster0
746,42,cluster1
747,42,cluster1
748,42,cluster1
749,168,cluster0
750,42,cluster1
751,84,cluster0
752,126,cluster0
753,42,cluster1
754,42,cluster1
755,42,cluster1
756,42,cluster1
757,42,cluster1
758,42,cluster1
759,42,cluster1
760,42,cluster1
761,42,cluster1
762,42,cluster1
763,42,cluster1
764,84,cluster0
765,84,cluster0
766,42,cluster1
767,42,cluster1
768,42,cluster1
769,42,cluster1
770,84,cluster0
771,42,cluster1
772,42,cluster1
773,42,cluster1
774,42,cluster1
775,42,cluster1
776,42,cluster1
777,84,cluster0
778,42,cluster1
779,42,cluster1
780,84,cluster0
781,42,cluster1
782,84,cluster0
783,84,cluster0
784,42,cluster1
785,84,cluster0
786,42,cluster1
787,84,cluster0
788,210,cluster0
789,210,cluster0
790,168,cluster0
791,42,cluster1
792,42,cluster1
793,42,cluster1
794,42,cluster1
795,126,cluster0
796,42,cluster1
797,84,cluster0
798,126,cluster0
799,126,cluster0
800,126,cluster0
801,84,cluster0
802,84,cluster0
803,84,cluster0
804,84,cluster0
805,126,cluster0
806,126,cluster0
807,42,cluster1
808,42,cluster1
809,42,cluster1
810,42,cluster1
811,42,cluster1
812,84,cluster0
813,84,cluster0
814,84,cluster0
815,84,cluster0
816,42,cluster1
817,42,cluster1
818,42,cluster1
819,42,cluster1
820,42,cluster1
821,42,cluster1
822,42,cluster1
823,42,cluster1
824,42,cluster1
825,42,cluster1
826,42,cluster1
827,84,cluster0
828,42,cluster1
829,42,cluster1
830,42,cluster1
831,42,cluster1
832,84,cluster0
833,42,cluster1
834,42,cluster1
835,42,cluster1
836,42,cluster1
837,84,cluster0
838,42,cluster1
839,42,cluster1
840,84,cluster0
841,42,cluster1
842,126,cluster0
843,42,cluster1
844,42,cluster1
845,84,cluster0
846,42,cluster1
847,84,cluster0
848,84,cluster0
849,84,cluster0
850,84,cluster0
851,84,cluster0
852,42,cluster1
853,42,cluster1
854,42,cluster1
855,42,cluster1
856,42,cluster1
857,42,cluster1
858,84,cluster0
859,84,cluster0
860,84,cluster0
861,42,cluster1
862,42,cluster1
863,42,cluster1
864,84,cluster0
865,42,cluster1
866,42,cluster1
867,84,cluster0
868,84,cluster0
869,42,cluster1
870,42,cluster1
871,126,cluster0
872,84,cluster0
873,84,cluster0
874,84,cluster0
875,84,cluster0
876,42,cluster1
877,210,cluster0
878,42,cluster1
879,126,cluster0
880,126,cluster0
881,126,cluster0
882,84,cluster0
883,84,cluster0
884,84,cluster0
885,84,cluster0
886,84,cluster0
887,126,cluster0
888,84,cluster0
889,126,cluster0
890,126,cluster0
891,84,cluster0
892,42,cluster1
893,42,cluster1
894,42,cluster1
895,42,cluster1
896,42,cluster1
897,84,cluster0
898,84,cluster0
899,126,cluster0
900,126,cluster0
901,84,cluster0
902,42,cluster1
903,42,cluster1
904,42,cluster1
905,42,cluster1
906,42,cluster1
907,42,cluster1
908,42,cluster1
909,84,cluster0
910,42,cluster1
911,84,cluster0
912,84,cluster0
913,84,cluster0
914,84,cluster0
915,84,cluster0
916,84,cluster0
917,168,cluster0
918,126,cluster0
919,126,cluster0
920,126,cluster0
921,126,cluster0
922,42,cluster1
923,42,cluster1
924,84,cluster0
925,42,cluster1
926,42,cluster1
927,42,cluster1
928,42,cluster1
929,42,cluster1
930,42,cluster1
931,42,cluster1
932,84,cluster0
933,126,cluster0
934,42,cluster1
935,42,cluster1
936,84,cluster0
937,42,cluster1
938,42,cluster1
939,42,cluster1
940,84,cluster0
941,42,cluster1
942,42,cluster1
943,42,cluster1
944,42,cluster1
945,42,cluster1
946,42,cluster1
947,84,cluster0
948,42,cluster1
949,42,cluster1
950,42,cluster1
951,42,cluster1
952,42,cluster1
953,42,cluster1
954,126,cluster0
955,126,cluster0
956,126,cluster0
957,84,cluster0
958,126,cluster0
959,126,cluster0
960,126,cluster0
961,84,cluster0
962,126,cluster0
963,126,cluster0
964,84,cluster0
965,126,cluster0
966,168,cluster0
967,42,cluster1
968,42,cluster1
969,84,cluster0
970,42,cluster1
971,42,cluster1
972,42,cluster1
973,84,cluster0
974,168,cluster0
975,84,cluster0
976,84,cluster0
977,42,cluster1
978,42,cluster1
979,42,cluster1
980,42,cluster1
981,42,cluster1
982,84,cluster0
983,84,cluster0
984,84,cluster0
985,42,cluster1
986,84,cluster0
987,168,cluster0
988,126,cluster0
989,84,cluster0
990,42,cluster1
991,84,cluster0
992,84,cluster0
993,84,cluster0
994,42,cluster1
995,42,cluster1
996,42,cluster1
997,84,cluster0
998,84,cluster0
999,42,cluster1
1000,168,cluster0
1001,126,cluster0
1002,126,cluster0
1003,42,cluster1
1004,42,cluster1
1005,42,cluster1
1006,42,cluster1
1007,42,cluster1
1008,42,cluster1
1009,42,cluster1
1010,42,cluster1
1011,42,cluster1
1012,42,cluster1
1013,84,cluster0
1014,84,cluster0
1015,84,cluster0
1016,84,cluster0
1017,84,cluster0
1018,84,cluster0
1019,84,cluster0
1020,126,cluster0
1021,84,cluster0
1022,42,cluster1
1023,84,cluster0
1024,84,cluster0
1025,84,cluster0
1026,84,cluster0
1027,42,cluster1
1028,42,cluster1
1029,84,cluster0
1030,42,cluster1
1031,42,cluster1
1032,42,cluster1
1033,84,cluster0
1034,126,cluster0
1035,84,cluster0
1036,42,cluster1
1037,42,cluster1
1038,42,cluster1
1039,84,cluster0
1040,42,cluster1
1041,42,cluster1
1042,42,cluster1
1043,42,cluster1
1044,42,cluster1
1045,42,cluster1
1046,42,cluster1
1047,42,cluster1
1048,42,cluster1
1049,42,cluster1
1050,42,cluster1
1051,42,cluster1
1052,84,cluster0
1053,42,cluster1
1054,84,cluster0
1055,42,cluster1
1056,42,cluster1
1057,126,cluster0
1058,42,cluster1
1059,42,cluster1
1060,42,cluster1
1061,42,cluster1
1062,42,cluster1
1063,42,cluster1
1064,42,cluster1
1065,42,cluster1
1066,42,cluster1
1067,84,cluster0
1068,84,cluster0
1069,84,cluster0
1070,84,cluster0
1071,42,cluster1
1072,126,cluster0
1073,42,cluster1
1074,42,cluster1
1075,84,cluster0
1076,42,cluster1
1077,168,cluster0
1078,126,cluster0
1079,126,cluster0
1080,84,cluster0
1081,42,cluster1
1082,42,cluster1
1083,42,cluster1
1084,42,cluster1
1085,42,cluster1
1086,42,cluster1
1087,126,cluster0
1088,84,cluster0
1089,42,cluster1
1090,42,cluster1
1091,42,cluster1
1092,42,cluster1
1093,84,cluster0
1094,42,cluster1
1095,42,cluster1
1096,84,cluster0
1097,84,cluster0
1098,84,cluster0
1099,84,cluster0
1100,84,cluster0
1101,42,cluster1
1102,42,cluster1
1103,84,cluster0
1104,42,cluster1
1105,84,cluster0
1106,84,cluster0
1107,42,cluster1
1108,84,cluster0
1109,126,cluster0
1110,84,cluster0
1111,126,cluster0
1112,84,cluster0
1113,126,cluster0
1114,84,cluster0
1115,42,cluster1
1116,84,cluster0
1117,42,cluster1
1118,168,cluster0
1119,126,cluster0
1120,42,cluster1
1121,84,cluster0
1122,84,cluster0
1123,84,cluster0
1124,84,cluster0
1125,42,cluster1
1126,42,cluster1
1127,126,cluster0
1128,84,cluster0
1129,42,cluster1
1130,42,cluster1
1131,42,cluster1
1132,42,cluster1
1133,42,cluster1
1134,84,cluster0
1135,42,cluster1
1136,42,cluster1
1137,42,cluster1
1138,42,cluster1
1139,42,cluster1
1140,42,cluster1
1141,42,cluster1
1142,42,cluster1
1143,42,cluster1
1144,42,cluster1
1145,42,cluster1
1146,84,cluster0
1147,42,cluster1
1148,42,cluster1
1149,42,cluster1
1150,42,cluster1
1151,42,cluster1
1152,42,cluster1
1153,42,cluster1
1154,42,cluster1
1155,42,cluster1
1156,84,cluster0
1157,84,cluster0
1158,84,cluster0
1159,126,cluster0
1160,84,cluster0
1161,84,cluster0
1162,84,cluster0
1163,126,cluster0
1164,42,cluster1
1165,168,cluster0
1166,84,cluster0
1167,42,cluster1
1168,126,cluster0
1169,84,cluster0
1170,84,cluster0
1171,42,cluster1
1172,42,cluster1
1173,42,cluster1
1174,84,cluster0
1175,84,cluster0
1176,126,cluster0
1177,126,cluster0
1178,168,cluster0
1179,126,cluster0
1180,126,cluster0
1181,42,cluster1
1182,42,cluster1
1183,84,cluster0
1184,42,cluster1
1185,42,cluster1
1186,42,cluster1
1187,42,cluster1
1188,42,cluster1
1189,42,cluster1
1190,84,cluster0
1191,84,cluster0
1192,84,cluster0
1193,84,cluster0
1194,126,cluster0
1195,42,cluster1
1196,42,cluster1
1197,84,cluster0
1198,42,cluster1
1199,42,cluster1
1200,42,cluster1
1201,42,cluster1
1202,42,cluster1
1203,42,cluster1
1204,42,cluster1
