@relation Tp-LinkT_51:33:e9_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0}

@data
0,113,cluster0
1,113,cluster0
2,113,cluster0
3,113,cluster0
4,113,cluster0
5,113,cluster0
6,113,cluster0
7,113,cluster0
8,113,cluster0
9,113,cluster0
10,113,cluster0
11,113,cluster0
12,113,cluster0
13,113,cluster0
14,113,cluster0
15,113,cluster0
16,113,cluster0
17,113,cluster0
18,113,cluster0
19,113,cluster0
20,113,cluster0
21,113,cluster0
22,113,cluster0
23,113,cluster0
24,113,cluster0
25,113,cluster0
26,113,cluster0
27,113,cluster0
28,113,cluster0
29,113,cluster0
30,113,cluster0
31,113,cluster0
32,113,cluster0
33,113,cluster0
34,113,cluster0
35,113,cluster0
36,113,cluster0
37,113,cluster0
38,113,cluster0
39,113,cluster0
40,113,cluster0
41,113,cluster0
42,113,cluster0
43,113,cluster0
44,113,cluster0
45,113,cluster0
46,113,cluster0
47,113,cluster0
48,113,cluster0
49,113,cluster0
50,113,cluster0
51,113,cluster0
52,113,cluster0
53,113,cluster0
54,113,cluster0
55,113,cluster0
56,113,cluster0
57,113,cluster0
58,113,cluster0
59,113,cluster0
60,113,cluster0
61,113,cluster0
62,113,cluster0
63,113,cluster0
64,113,cluster0
65,113,cluster0
66,113,cluster0
67,113,cluster0
68,113,cluster0
69,113,cluster0
70,113,cluster0
71,113,cluster0
72,113,cluster0
73,113,cluster0
74,113,cluster0
75,113,cluster0
76,113,cluster0
77,113,cluster0
78,113,cluster0
79,113,cluster0
80,113,cluster0
81,113,cluster0
82,113,cluster0
83,113,cluster0
84,113,cluster0
85,113,cluster0
86,113,cluster0
87,113,cluster0
88,113,cluster0
89,113,cluster0
90,113,cluster0
91,113,cluster0
92,113,cluster0
93,113,cluster0
94,113,cluster0
95,113,cluster0
96,113,cluster0
97,113,cluster0
98,113,cluster0
99,113,cluster0
100,113,cluster0
101,113,cluster0
102,113,cluster0
103,113,cluster0
104,113,cluster0
105,113,cluster0
106,113,cluster0
107,113,cluster0
108,113,cluster0
109,113,cluster0
110,113,cluster0
111,113,cluster0
112,113,cluster0
113,113,cluster0
114,113,cluster0
115,113,cluster0
116,113,cluster0
117,113,cluster0
118,113,cluster0
119,113,cluster0
120,113,cluster0
121,113,cluster0
122,113,cluster0
123,113,cluster0
124,113,cluster0
125,113,cluster0
126,113,cluster0
127,113,cluster0
128,113,cluster0
129,113,cluster0
130,113,cluster0
131,113,cluster0
132,113,cluster0
133,113,cluster0
134,113,cluster0
135,113,cluster0
136,113,cluster0
137,113,cluster0
138,113,cluster0
