@relation 176.32.100.25_clustered

@attribute Instance_number numeric
@attribute length numeric
@attribute Cluster {cluster0,cluster1}

@data
0,6255,cluster0
1,298,cluster1
2,298,cluster1
3,298,cluster1
4,298,cluster1
5,298,cluster1
6,393,cluster1
7,298,cluster1
8,393,cluster1
9,298,cluster1
10,393,cluster1
11,298,cluster1
12,596,cluster1
13,892,cluster1
14,298,cluster1
15,393,cluster1
16,298,cluster1
17,298,cluster1
18,298,cluster1
19,393,cluster1
20,393,cluster1
21,393,cluster1
22,393,cluster1
23,298,cluster1
24,298,cluster1
25,298,cluster1
26,298,cluster1
27,298,cluster1
28,488,cluster1
29,298,cluster1
30,298,cluster1
31,298,cluster1
32,298,cluster1
33,488,cluster1
34,352,cluster1
35,298,cluster1
36,488,cluster1
37,298,cluster1
38,298,cluster1
39,298,cluster1
40,298,cluster1
41,298,cluster1
42,298,cluster1
43,393,cluster1
44,298,cluster1
45,298,cluster1
46,488,cluster1
47,393,cluster1
48,298,cluster1
49,298,cluster1
50,393,cluster1
51,488,cluster1
52,298,cluster1
53,298,cluster1
54,298,cluster1
55,298,cluster1
56,298,cluster1
57,393,cluster1
58,298,cluster1
59,393,cluster1
60,298,cluster1
61,298,cluster1
62,298,cluster1
63,298,cluster1
64,298,cluster1
65,298,cluster1
66,488,cluster1
67,298,cluster1
68,488,cluster1
69,393,cluster1
70,298,cluster1
71,298,cluster1
72,488,cluster1
73,352,cluster1
74,298,cluster1
75,6561,cluster0
76,298,cluster1
77,298,cluster1
78,298,cluster1
79,393,cluster1
80,298,cluster1
81,583,cluster1
82,298,cluster1
83,807,cluster1
84,873,cluster1
85,298,cluster1
86,488,cluster1
87,298,cluster1
88,583,cluster1
89,298,cluster1
90,298,cluster1
91,298,cluster1
92,488,cluster1
93,298,cluster1
94,614,cluster1
95,298,cluster1
96,298,cluster1
97,298,cluster1
98,488,cluster1
99,298,cluster1
100,298,cluster1
101,488,cluster1
102,488,cluster1
103,298,cluster1
104,298,cluster1
105,298,cluster1
106,488,cluster1
107,298,cluster1
108,393,cluster1
109,298,cluster1
110,298,cluster1
111,298,cluster1
112,393,cluster1
113,393,cluster1
114,298,cluster1
115,393,cluster1
116,393,cluster1
117,488,cluster1
118,298,cluster1
119,298,cluster1
120,298,cluster1
121,298,cluster1
122,298,cluster1
123,393,cluster1
124,298,cluster1
125,298,cluster1
126,298,cluster1
127,298,cluster1
128,298,cluster1
129,298,cluster1
130,298,cluster1
131,583,cluster1
132,298,cluster1
133,298,cluster1
134,298,cluster1
135,298,cluster1
136,298,cluster1
137,583,cluster1
138,298,cluster1
139,298,cluster1
140,298,cluster1
141,393,cluster1
142,298,cluster1
143,488,cluster1
144,311,cluster1
145,298,cluster1
146,393,cluster1
147,298,cluster1
148,298,cluster1
149,298,cluster1
150,298,cluster1
151,393,cluster1
152,298,cluster1
153,488,cluster1
154,278,cluster1
155,6231,cluster0
156,298,cluster1
157,298,cluster1
158,298,cluster1
159,488,cluster1
160,393,cluster1
161,488,cluster1
162,298,cluster1
163,298,cluster1
164,583,cluster1
165,1148,cluster1
166,298,cluster1
167,298,cluster1
168,542,cluster1
169,298,cluster1
170,298,cluster1
171,298,cluster1
172,298,cluster1
173,298,cluster1
174,393,cluster1
175,298,cluster1
176,298,cluster1
177,298,cluster1
178,298,cluster1
179,393,cluster1
180,298,cluster1
181,488,cluster1
182,298,cluster1
183,298,cluster1
184,298,cluster1
185,298,cluster1
186,298,cluster1
187,393,cluster1
188,298,cluster1
189,298,cluster1
190,298,cluster1
191,488,cluster1
192,298,cluster1
193,298,cluster1
194,393,cluster1
195,393,cluster1
196,298,cluster1
197,298,cluster1
198,393,cluster1
199,298,cluster1
200,298,cluster1
201,298,cluster1
202,298,cluster1
203,298,cluster1
204,583,cluster1
205,298,cluster1
206,393,cluster1
207,488,cluster1
208,298,cluster1
209,488,cluster1
210,393,cluster1
211,298,cluster1
212,298,cluster1
213,298,cluster1
214,393,cluster1
215,298,cluster1
216,298,cluster1
217,488,cluster1
218,298,cluster1
219,298,cluster1
220,298,cluster1
221,298,cluster1
222,298,cluster1
223,488,cluster1
224,298,cluster1
225,352,cluster1
226,393,cluster1
227,298,cluster1
228,447,cluster1
229,298,cluster1
230,298,cluster1
231,488,cluster1
232,298,cluster1
233,488,cluster1
234,393,cluster1
