@relation communication_pattern.2016-0923-1007-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute timeave_2 numeric
@attribute timesd_2 numeric
@attribute dataave_2 numeric
@attribute datasd_2 numeric
@attribute cluster numeric
@attribute class {streaming,sencing,kensaku}

@data
852.75,1547.161655,90,0,7684,4738.495638,180,0,2,sencing
1149.671642,1983.687937,90,0,9130,5704.209323,180,0,2,sencing
459.521978,875.364211,90,0,6928.583333,4481.944546,180,0,2,sencing
191.717042,1403.659353,371.524116,155.610318,13872.75,7926.330626,6063,84.507396,2,sencing
294.24055,42.452041,488.281787,24.194863,27746.5,17552.5,980,0,2,sencing
5031.1875,3492.313421,174,26.267851,2520.666667,1820.319097,3827.060606,125.330578,2,sencing
1087.851351,2524.420799,90,0,19707.75,7447.874172,180,0,2,sencing
780.045455,389.621084,90.8,18.962067,289.050676,39.047971,496.439189,60.19279,2,sencing
4159.75,4036.732675,363.9,335.8169,2223.72973,1650.089247,3985.972973,1151.975471,2,sencing
367.908046,589.631887,90,0,5754,0,180,0,2,sencing
1675.372549,3559.441336,90,0,17110,11382.966397,180,0,2,sencing
112.74934,98.156546,42,0,129.730303,134.140203,96.727273,24.104662,2,sencing
6123.230769,7613.506179,87.384615,2.131755,293.229452,31.757947,973.561644,85.419711,2,sencing
156.569565,1511.469661,371.284783,150.081961,11359.333333,11120.522794,6270.333333,167.798159,2,sencing
2121.948718,3511.056842,90,0,22497.333333,6479.213344,180,0,2,sencing
507.541667,2546.747889,90,0,33654,0,180,0,2,sencing
1212.450704,6112.166785,106.478873,49.760514,317.54717,268.155585,251.207547,24.32714,2,sencing
1176.66129,2470.262771,90,0,10977.333333,6403.405778,180,0,2,sencing
4056.631579,1263.306406,221.684211,55.110466,0,0,0,0,1,sencing
6211.272727,3544.480577,593.545455,42.547009,11141.142857,6354.015523,637,0,2,sencing
84.427723,41.040058,793.791089,6.636004,199.983683,86.77905,1080.358974,103.028372,2,sencing
1085.916667,2302.308098,90,0,12372.75,4320.221891,180,0,2,sencing
179.648352,2121.552735,381.015385,178.945955,12848.166667,16735.22991,5654.5,1107.810115,2,sencing
902.858696,2165.457716,90,0,14982.75,16151.354191,180,0,2,sencing
1008.567901,1899.476243,90,0,7220.363636,4180.791623,180,0,2,sencing
294.24055,43.030923,820.886598,44.752978,27746.5,17552.5,1640,0,2,sencing
1010.363636,2011.087067,90,0,11115.428571,8228.602865,180,0,2,sencing
1913.302326,2477.478224,2364.72093,2142.384483,0,0,0,0,1,sencing
1424.175439,3296.72112,90,0,20322.75,8554.422376,180,0,2,sencing
421.916667,3644.486629,369.431373,158.317719,27417.333333,16473.190509,6290.333333,503.980379,2,sencing
577.741497,1035.347364,90,0,8500.5,4525.669039,180,0,2,sencing
766.954545,2052.943485,90,0,9148.166667,3182.366018,180,0,2,sencing
1971.738095,2081.051761,132.214286,86.375298,4356.631579,813.475921,2022.421053,115.511365,2,sencing
335.538462,78.676177,90,0,0,0,0,0,1,sencing
602.794326,44.895074,113,0,0,0,0,0,1,sencing
615.683544,2081.007348,90,0,16228,1771,180,0,2,sencing
976.095238,1656.862566,90,0,7114.6,6859.58464,180,0,2,sencing
1456.891892,2222.713703,177.081081,17.289863,509.584906,963.077456,126,0,4,sencing
2629.421053,9819.514461,5683.631579,3184.124422,2949.470588,10232.410964,16937.294118,3715.856338,2,streaming
686.666667,1357.135272,90,0,9098.333333,4239.600715,180,0,2,sencing
752.774648,2509.634989,90,0,21868,5011,180,0,2,sencing
1565.846154,3097.170827,90,0,20278,4321,180,0,2,sencing
1195.514286,1876.485916,90,0,0,0,0,0,1,sencing
281.712042,60.367078,502.984293,90.435102,3761.571429,9020.515963,2513.571429,290.33176,2,sencing
1743.916667,2999.082525,90,0,14548,4291,180,0,2,sencing
199.736059,101.315112,427.189591,209.183359,3137.625,7232.834393,2025.625,675.752902,2,sencing
9417,0,10935,0,4990.8,2506.153459,3725.8,32.4,4,sencing
647.953846,2006.370749,90,0,39901,0,180,0,2,sencing
1198.9375,4373.441165,90,0,15958,8999,180,0,2,sencing
14678.333333,13760.789738,98,0,271.717172,74.499751,1008.621212,304.762423,2,sencing
5308.8,5113.403598,5883.6,872.232446,1348.95,2521.877296,727.9,250.288813,3,sencing
1190.955556,2872.566224,90,0,11353.5,7795.793144,180,0,2,sencing
496.759259,1064.019727,90,0,5381.571429,3687.685254,180,0,2,sencing
2214.571429,5738.820993,90,0,22137,0,180,0,2,sencing
11819.666667,4242.442797,6038.333333,38.938698,4252.555556,5159.406837,996.888889,339.906015,3,sencing
7130.142857,5469.519891,108,0,2578.894737,1648.428978,3767.210526,82.747287,2,sencing
297.331492,312.153632,253.624309,18.919786,2358.866667,7691.294142,210,0,4,sencing
800.471698,2478.634626,90,0,0,0,0,0,1,sencing
13048,12809,405,27,8718.333333,12161.392501,324,0,4,sencing
3778.846154,1537.458535,622,0,0,0,0,0,1,sencing
411.257576,3938.303984,25192.136364,356.632838,2192.826087,8910.611962,19737.086956,2762.54207,3,streaming
4152.692308,1155.153229,2010.461538,125.398206,1644.933333,1986.619137,127.5,73.823551,2,sencing
431.877551,756.765894,90,0,7703.4,2673.654697,180,0,2,sencing
1394.419355,3205.25855,90,0,13378,1201,180,0,2,sencing
598.295455,6.571563,113,0,0,0,0,0,1,sencing
6576.25,4012.701451,3854,29.103264,2872.222222,1150.087367,3715.888889,3.664983,4,sencing
25977,0,1352,0,286.223404,64.562135,806.202128,20.333956,3,sencing
19858,2281,6193.5,256.5,10048.5,9886.810949,1084.75,144.47383,3,sencing
84.112853,40.810862,774,0,201.089219,86.756289,1072.074349,97.671335,2,sencing
687.931034,1275.641405,90,0,9928.5,10663.786886,180,0,2,sencing
1278.952381,3892.370816,90,0,7738,3781,180,0,2,sencing
369.895105,3348.32369,384.111888,110.51748,24358,19861,6432.5,308.5,2,sencing
858.521739,1892.960377,90,0,7138.6,3772.589646,180,0,2,sencing
119.169916,123.497676,99.091922,27.387042,119.254902,134.520403,42,0,2,sencing
32337.5,21178.5,180,0,2059.53125,5219.902537,90,0,2,sencing
16510.4,9288.458206,5594.6,109.291537,240.672269,1790.509223,360.647059,115.39339,2,sencing
7822.7,6590.366849,5713.9,314.414201,115.685997,905.723092,338.644979,122.420588,2,sencing
12347.4,9728.216807,5845.4,176.8,179.005495,1610.042048,347.972527,124.48551,2,sencing
15776,0,180,0,7524.285714,8673.389628,90,0,2,sencing
24357.5,19861.5,180,0,3718.869565,8975.243363,90,0,2,sencing
2053.925,1403.247473,3769,82.214354,5358.8,3905.343078,108,0,2,sencing
11278.571429,5633.293983,180,0,1077.381579,2509.754994,90,0,2,sencing
17397.5,2761.5,180,0,2872.166667,6311.330589,90,0,2,sencing
17068.25,3119.848824,180,0,2508.551724,5700.334543,90,0,2,sencing
7520.545455,5647.700278,180,0,489.327586,992.730272,90,0,2,sencing
5855.692308,4626.132018,180,0,562.58,869.730098,90,0,2,sencing
37796,0,226,0,598.556338,5.268194,113.15493,1.839687,2,sencing
290.040678,40.063065,993.064407,85.50234,892.71875,988.82412,108.34375,45.626388,2,sencing
4129.368421,792.867096,622,0,0,0,0,0,1,sencing
4135.85,773.307525,2064.45,92.927109,1970.357143,1969.250713,123.52381,65.21256,2,sencing
12537.5,4381.5,180,0,380.212264,725.975263,90,0,2,sencing
14787.5,7528.5,180,0,3567.428571,3803.15331,90,0,2,sencing
3031.035714,2543.525906,3768.214286,85.308414,6321.846154,3748.794921,112.153846,14.389345,2,sencing
28680,8761,180,0,360.021097,555.755148,90,0,2,sencing
2491.590909,6466.267159,90,0,0,0,0,0,1,sencing
134.902208,48.445845,980.919558,17.744635,106.182609,43.400692,778.347826,8.24942,2,sencing
23978,12534.445421,180,0,1330.055556,3900.149306,90,0,2,sencing
14854.4,7539.885718,180,0,433.604061,966.00531,90,0,2,sencing
23877.5,2701.5,180,0,3121.111111,8253.096139,90,0,2,sencing
13594.4,10180.373895,180,0,1301.052632,2518.510869,90,0,2,sencing
3110,2784.770368,3759.740741,81.222416,10998.5,10696.719182,108,0,2,sencing
16918.4,10574.083858,180,0,1780.1875,3144.877784,90,0,2,sencing
34887.5,868.5,1624,0,290.040678,51.284831,802.522034,55.459486,2,sencing
290.040678,40.063065,951.084746,88.528706,5748.5,4670.658546,140.333333,73.88655,2,sencing
3555.227273,1482.166349,213.545455,64.053761,0,0,0,0,1,sencing
23058,8756.87627,180,0,3673.85,7027.307445,90,0,2,sencing
34887.5,868.5,980,0,292.027304,47.566149,490.300341,5.132234,2,sencing
19696.666667,2666.755374,180,0,2076,4978.811477,90,0,2,sencing
17092,0,180,0,338.809717,402.759108,90,0,2,sencing
291.044068,36.094811,947.972881,63.343449,7798.363636,10131.228251,98,0,2,sencing
1491.512195,4430.551335,90,0,0,0,0,0,1,sencing
12772,0,180,0,2649.590909,5453.217488,90,0,2,sencing
12393.6,7686.555837,180,0,403.966346,768.624016,90,0,2,sencing
15515.4,6193.032524,5727.8,217.362738,239.888235,1697.76945,341.414706,121.716843,2,sencing
25765.5,10353.5,180,0,5798.222222,11605.082237,90,0,2,sencing
291.044068,36.094811,809.423729,50.208583,42355.5,42056.5,198,0,2,sencing
7402.3,5405.557326,180,0,605.333333,1488.782246,90,0,2,sencing
68812,0,980,0,292.037415,40.353733,490.333333,5.705748,2,sencing
2373.085714,2471.152101,3757,61.595918,6548.416667,7732.340875,108,0,2,sencing
12921.6,12441.340243,5733.4,212.795301,200.621701,1852.944516,350.750733,117.326072,2,sencing
134.996845,51.872265,980.618297,11.819464,106.182609,45.21411,777.475776,12.552339,2,sencing
598.528169,5.602683,113,0,0,0,0,0,1,sencing
2926.344828,2122.577845,3781.068966,90.817715,5805.642857,4284.280496,108,0,2,sencing
28456.666667,10716.989513,180,0,4072.952381,10343.565842,90,0,2,sencing
11080.857143,6575.407699,270,0,6307.692308,3506.502825,203.538462,43.168036,2,sencing
17202.25,17491.340477,5602.25,95.998372,250.316151,2551.110846,331.33677,132.410989,2,sencing
4129.65,902.133597,2023.9,71.901252,1877.931818,1988.645718,134.045455,72.534617,2,sencing
2708.766667,2096.570115,3748.733333,66.524649,16437.6,10962.454098,108,0,2,sencing
12549.6,7510.087179,180,0,1009.306667,2609.912392,90,0,2,sencing
12852.25,5110.925228,180,0,1393.883333,2373.130275,90,0,2,sencing
