time_ave,time_sd,data_ave,data_sd,ip_number
14836.333333333334,1428.1039489087932,180.0,0.0,107.170.224.8_1
360.8392857142857,516.5255932251881,90.0,0.0,107.170.224.8_2
19015.0,1796.0,180.0,0.0,129.6.15.30_1
2318.757575757576,3299.7442603412055,90.0,0.0,129.6.15.30_2
13556.333333333334,2338.378545535821,180.0,0.0,131.107.13.100_1
2375.4444444444443,7301.998373521702,90.0,0.0,131.107.13.100_2
11800.714285714286,10831.47558493019,180.0,0.0,132.163.4.101_1
1357.2295081967213,2541.5997053194837,90.0,0.0,132.163.4.101_2
10067.666666666666,4189.654188858816,180.0,0.0,138.236.128.36_1
414.3673469387755,732.2443049960051,90.0,0.0,138.236.128.36_2
3358.1111111111113,6124.225637116988,90.0,0.0,173.71.69.90_1
9778.0,7088.698540634945,6216.375,272.0275434124273,176.32.100.25_1
140.97260273972603,1054.7281928976986,356.022260274,112.8755733204726,176.32.100.25_2
21679.666666666668,15840.655738391079,6080.33333333,123.77757829626854,176.32.98.204_1
243.2175438596491,2423.7778070478853,343.849122807,117.63187466765513,176.32.98.204_2
291.421768707483,35.92413115988701,988.176870748,82.07924664824756,192.168.1.1_1
726.0508474576271,293.862035179131,94.2711864407,38.3219326980125,192.168.1.1_2
17277.0,8911.007350462685,180.0,0.0,198.38.16.1_1
471.3314917127072,1050.9051613104984,90.0,0.0,198.38.16.1_2
18716.333333333332,11941.47789104105,180.0,0.0,204.11.201.12_1
1525.1463414634147,3544.5629787452626,90.0,0.0,204.11.201.12_2
13929.4,6225.69519330974,6349.0,285.8090271492487,205.251.242.52_1
200.84109589041097,1444.2225256229165,360.2,115.87601309571731,205.251.242.52_2
11211.0,0.0,180.0,0.0,206.108.0.131_1
2844.1428571428573,5276.163200892195,90.0,0.0,206.108.0.131_2
31705.0,26974.0,180.0,0.0,206.108.0.132_1
1527.0,2528.9415709714913,90.0,0.0,206.108.0.132_2
5959.857142857143,3087.8449918798633,180.0,0.0,207.171.178.6_1
658.9375,1154.243473489779,90.0,0.0,207.171.178.6_2
32515.0,28564.0,980.0,0.0,208.67.220.220_1
293.4246575342466,44.07447551594919,489.664383562,5.725187557208031,208.67.220.220_2
14262.0,6213.745006032997,180.0,0.0,208.75.88.4_1
1722.8823529411766,4212.367056828418,90.0,0.0,208.75.88.4_2
18927.0,11049.184223280921,180.0,0.0,208.75.89.4_1
1308.225806451613,2529.9582644737816,90.0,0.0,208.75.89.4_2
3910.6,1314.0550368991396,216.0,61.569472955353454,224.0.0.22_1
134.99684542586752,70.6830575687884,980.951104101,18.426744905246935,23.23.189.20_1
106.18260869565218,54.374753875610715,792.32173913,8.989550149048512,23.23.189.20_2
11657.666666666666,5679.716737850773,637.0,0.0,239.255.255.250_1
6063.0,3064.9655036332038,595.615384615,39.4374645415683,239.255.255.250_2
16077.0,13445.427921788134,180.0,0.0,45.79.10.228_1
1652.4634146341464,4936.645232452959,90.0,0.0,45.79.10.228_2
2711.1666666666665,2266.429932490499,3849.20833333,200.19906326093425,54.239.26.180_1
4339.857142857143,3071.03860647322,340.928571429,484.1402489075298,54.239.26.180_2
27656.333333333332,20067.442642803846,6233.33333333,82.66129014774019,54.239.29.231_1
436.92893401015226,3921.8450147631647,354.467005076,120.41575683892577,54.239.29.231_2
27295.0,11404.0,180.0,0.0,71.252.219.43_1
2483.6666666666665,4365.779909961359,90.0,0.0,71.252.219.43_2
4738.529411764706,3554.544897114895,180.0,0.0,72.21.192.213_1
409.32124352331607,569.3824674258291,90.0,0.0,72.21.192.213_2
2595.625,2059.229979719361,3804.4375,84.45151623120807,72.21.207.109_1
4565.222222222223,4292.75570073267,229.055555556,210.00065402602453,72.21.207.109_2
2233.0,1536.055577393639,3818.21052632,192.7719074716265,72.21.207.120_1
7225.545454545455,6996.944220854705,370.909090909,308.7489284620212,72.21.207.120_2
4150.6,940.738348320084,2082.5,151.0726646352675,74.125.34.101_1
1975.8,2005.2339913336798,117.875,89.42208549905331,74.125.34.101_2
291.421768707483,35.92413115988701,973.836734694,85.5785862986484,8.8.8.8_1
3741.4761904761904,4165.825678393953,87.619047619,1.7036708399998397,8.8.8.8_2
32515.0,28564.0,1640.0,0.0,93.184.216.34_1
293.4246575342466,44.07447551594919,823.719178082,4.790463058071963,93.184.216.34_2
17425.0,13346.0,180.0,0.0,96.244.96.19_1
1492.6410256410256,3679.616782493688,90.0,0.0,96.244.96.19_2
21417.0,16290.477341072607,180.0,0.0,97.107.128.58_1
2312.837837837838,5038.853631496888,90.0,0.0,97.107.128.58_2
602.7730496453901,44.64332545544698,113.0,0.0,Tp-LinkT_51:33:e9_1
120.53041018387553,132.45301852445309,103.128712871,29.35398951290096,Tp-LinkT_51:33:ea_1
118.66990291262135,136.5052489523032,42.0,0.0,Tp-LinkT_51:33:ea_2
