@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2_predicted

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted class' {streaming,sencing,kensaku}
@attribute class {streaming,sencing,kensaku}

@data
180.980703,2318.559149,847.387555,10058.268507,0.333333,kensaku,kensaku
3023.670984,590.16161,31817.905218,5565.811932,0.333333,kensaku,kensaku
32112.349788,880.80814,1173715.941147,1945.734314,0.333333,kensaku,kensaku
9640.515229,750.276522,159568.209093,2121.200872,0.333333,kensaku,kensaku
160.539642,1005.116387,2264.850963,17671.237148,0.333333,kensaku,kensaku
153.42971,1028.0726,942.986427,17707.214779,0.333333,kensaku,kensaku
3183.532742,501.935182,175595.279848,1979.481641,-0.333333,sencing,kensaku
137.959641,1459.792534,940.103817,6505.50121,0.333333,kensaku,kensaku
7082.787703,839.378613,161444.559876,2456.790633,0.333333,kensaku,kensaku
12445.928619,609.002078,116895.119314,7124.648549,0.333333,kensaku,kensaku
176.825957,1153.950514,1744.281202,16879.391558,0.333333,kensaku,kensaku
216.524411,2355.146661,782.057892,5517.195458,-0.333333,streaming,kensaku
190.74073,1213.227716,1627.210637,6680.069356,0.333333,kensaku,kensaku
16816.46278,230.09266,1194524.107832,4059.393084,0.333333,kensaku,kensaku
153.390892,1028.196225,976.822272,17883.73668,0.333333,kensaku,kensaku
205.786412,2142.374898,1755.665515,9876.426944,0.333333,kensaku,kensaku
152.147435,1038.152054,1153.60871,16994.811679,0.333333,kensaku,kensaku
151.810662,1021.354171,1288.416901,17276.203392,0.333333,kensaku,kensaku
190.537791,1599.806117,1550.498671,12963.176128,0.333333,kensaku,kensaku
167.041651,1016.03324,1873.550454,17001.512203,0.333333,kensaku,kensaku
168.706584,1089.388932,1236.174407,14511.469354,0.333333,kensaku,kensaku
143.833414,1959.191109,986.791303,6778.473538,0.333333,kensaku,kensaku
