@relation 2016-09-26-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,1290.765625,1825.101664,724.625,878.952742,cluster1
1,337.439516,402.486651,90.362903,5.703472,cluster2
2,409.859551,679.55032,96.573034,23.417264,cluster2
3,1438.865385,3866.434374,100.384615,28.753698,cluster2
4,280.545752,53.796939,917.418301,170.015113,cluster1
5,246.908475,2529.450211,402.80678,623.71801,cluster1
6,1491.512195,4430.551335,90,0,cluster2
7,1174.9,2251.714624,93.857143,18.228146,cluster2
8,1973.255814,1826.964379,2585.186047,1722.784661,cluster0
9,4116.526316,923.706855,622,0,cluster2
10,394.460094,760.287748,92.112676,13.626351,cluster2
11,2347.371429,1980.357516,3228.628571,1275.479161,cluster0
12,291.044068,36.094811,491.99322,29.025529,cluster2
13,8095.5,8036.5,90,0,cluster2
14,1881.28125,4778.124771,98.4375,26.233254,cluster2
15,4099.65,1420.742773,226.8,47.076109,cluster2
16,565.178808,1434.604415,95.960265,22.380775,cluster2
17,184.135193,1441.327178,421.341202,601.081527,cluster1
18,4743.818182,10732.663457,106.363636,34.712515,cluster2
19,236.397101,1679.304468,419.478261,655.493309,cluster1
20,59.46391,5.693459,74.081289,36.52846,cluster2
21,3129.130435,3360.470261,101.73913,30.310304,cluster2
22,197.708092,1835.10699,428.534682,653.340815,cluster1
23,598.528169,5.602683,113,0,cluster2
24,483.417143,1121.861704,93.085714,16.376589,cluster2
25,289.077441,40.872934,805.306397,70.741839,cluster2
26,2733.357143,4369.68188,99.642857,27.836531,cluster2
27,946.1625,2534.904892,95.625,21.785531,cluster2
28,3563.708333,9768.83266,101.25,29.764702,cluster2
29,58.959694,1.528434,866.977067,101.590986,cluster1
30,2141.447368,2981.629462,99.473684,27.620298,cluster2
31,218.778061,93.217292,770.262755,388.025877,cluster1
32,2534.347826,5354.454428,93.913043,18.353801,cluster2
33,1306.703125,2318.06092,95.625,21.785531,cluster2
34,1766.93617,2173.229428,2825.340426,1591.999242,cluster0
