@relation 2016-09-27-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1}

@data
0,1293.640625,1835.240493,725.65625,890.516901,cluster1
1,473.620112,1584.103624,91.005587,9.459999,cluster1
2,415.717822,750.203117,97.128713,24.30567,cluster1
3,4774.117647,11150.643885,100.588235,28.997077,cluster1
4,276.854369,60.484196,912.944984,181.403911,cluster1
5,157.14977,1395.575533,394.571429,640.460358,cluster1
6,12178.5,21351.619172,105,33.54102,cluster1
7,1263.432836,2880.062843,95.373134,21.323966,cluster1
8,2571.636364,2491.90629,2468.969697,1720.916449,cluster0
9,4097.789474,956.107821,622,0,cluster1
10,321.630189,240.926637,91.018868,9.521556,cluster1
11,1956.071429,1956.53124,3566.52381,775.217028,cluster0
12,289.057432,42.850621,491.655405,28.432522,cluster1
13,1909.225806,5500.357547,95.806452,22.110309,cluster1
14,13556,0,90,0,cluster1
15,4298.833333,251.463328,228,28.774989,cluster1
16,606.673759,1265.70167,94.468085,19.549012,cluster1
17,279.29108,2475.224907,387.399061,518.83599,cluster1
18,2198.909091,5932.965554,100.909091,29.373626,cluster1
19,167.509766,1433.52432,403.923828,652.469596,cluster1
20,59.210894,4.16995,75.582402,35.053374,cluster1
21,2149.925,3924.030819,94.5,19.615045,cluster1
22,264.762887,1912.70344,395.381443,642.143968,cluster1
23,598.556338,5.268194,113,0,cluster1
24,365.591743,577.264256,91.238532,10.484938,cluster1
25,289.057432,42.850621,810.756757,47.348852,cluster1
26,3058.863636,9828.314034,102.272727,30.885686,cluster1
27,1712.54,6807.188028,99,27,cluster1
28,1538.589286,4880.650717,90,0,cluster1
29,58.959694,1.528434,867.243919,102.380856,cluster1
30,1351.95,2970.132396,99,27,cluster1
31,222.005195,91.338844,789.701299,376.472578,cluster1
32,17878.25,24087.823723,90,0,cluster1
33,948.719512,2246.134193,94.390244,19.386792,cluster1
34,1694.857143,1596.217263,2572.142857,1716.952164,cluster0
