@relation 2016-09-28-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,1311.484375,1863.369369,726.6875,883.008173,cluster3
1,363.846809,588.909416,90.765957,8.267374,cluster3
2,483.664671,1048.524276,96.467066,23.242482,cluster3
3,1174.518519,4630.15342,93.333333,16.996732,cluster3
4,274.766026,63.84195,920.432692,229.10989,cluster3
5,260.451515,2205.435809,422.718182,712.296144,cluster3
6,4816.588235,8564.254654,95.294118,21.176471,cluster2
7,1219.279412,2342.840645,93.970588,18.482082,cluster3
8,1614.365385,1793.699036,3050.192308,2590.660274,cluster3
9,4214.736842,962.496088,622,0,cluster3
10,428.658291,1092.857949,91.356784,10.966754,cluster3
11,2648.966667,1872.297172,3379.966667,1092.075134,cluster3
12,55018,0,156,0,cluster1
13,286.755853,49.399578,498.849498,139.120556,cluster3
14,2554.235294,7515.013737,95.294118,21.176471,cluster2
15,2017.975,5555.506095,94.5,19.615045,cluster2
16,3604.409091,1503.894298,240.545455,70.45871,cluster3
17,451.836842,950.545804,93.789474,18.074638,cluster3
18,154.331481,1004.99393,2356.192593,17977.37108,cluster2
19,8978.888889,14796.152957,110,37.416574,cluster2
20,391.089109,3682.407845,881.534653,4497.285915,cluster2
21,59.210747,4.168499,70.664341,35.443709,cluster3
22,2705.172414,3537.15245,99.310345,27.408913,cluster3
23,177.260526,1171.183265,1739.581579,15393.168468,cluster2
24,594.377622,38.272633,113.944056,9.580557,cluster3
25,367.271552,708.417152,90.775862,8.320194,cluster3
26,46738,0,555,0,cluster1
27,287.721477,47.095999,813.47651,66.62462,cluster3
28,3662.105263,10067.223884,94.736842,20.096719,cluster2
29,3605.555556,9437.982684,100,28.284271,cluster2
30,2961.296296,9483.396058,96.666667,23.570226,cluster2
31,58.959694,1.528434,866.924253,101.34507,cluster3
32,1424.537037,2623.742399,100,28.284271,cluster3
33,214.636591,92.694614,775.135338,408.009689,cluster3
34,1222.977778,3602.082882,94,18.547237,cluster3
35,46738,0,158740,0,cluster0
36,1464.537037,2775.701931,95,20.615528,cluster3
37,1663.686275,1454.059908,3088.921569,2600.637108,cluster3
