@relation 2016-09-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute ﻿time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,1254.767442,1853.029409,696.767442,869.712325,cluster3
1,466.46087,1033.743398,95.478261,21.518182,cluster3
2,267.646766,77.380494,995.029851,322.002672,cluster3
3,306.446328,3269.187661,22394.37288,5851.256933,cluster3
4,1609.692308,2913.761457,96.923077,23.982242,cluster3
5,291.092105,2010.024513,458.013158,675.740938,cluster3
6,1309.848485,3124.333239,95.454545,21.474567,cluster3
7,1142.869565,961.002593,2376.565217,1617.143142,cluster3
8,3778.846154,1537.458535,622,0,cluster3
9,252.511737,89.259794,234.253521,58.552425,cluster3
10,1918.923077,1461.316633,2782.038462,1624.620464,cluster3
11,1453.928571,3011.579106,96.428571,23.178544,cluster3
12,271.717172,74.499751,574.065657,385.658038,cluster3
13,732.123288,2477.935044,92.465753,14.691422,cluster3
14,661.197531,1332.257774,93.333333,16.996732,cluster3
15,2213.454545,2146.707071,250.363636,71.981403,cluster3
16,800.471698,2478.634626,90,0,cluster3
17,410.864078,743.773546,94.368932,19.342087,cluster3
18,364.77931,3319.896343,467.537931,714.836726,cluster3
19,1128.352941,4252.194969,95.294118,21.176471,cluster3
20,643.483871,1241.484267,95.806452,22.110309,cluster3
21,141.671916,759.603716,525.238845,904.067974,cluster3
22,59.335183,5.25306,71.833518,36.147482,cluster3
23,1195.514286,1876.485916,90,0,cluster3
24,169.223176,1046.856345,440.287554,659.268862,cluster3
25,598.295455,6.571563,113,0,cluster3
26,2066.866667,5571.661845,96,22.449944,cluster1
27,1220.772727,3812.170539,94.090909,18.746901,cluster3
28,283.2,61.408571,805.221053,69.265497,cluster3
29,872.148936,1592.465491,99.574468,27.749445,cluster3
30,58.936053,1.924796,862.403528,146.167513,cluster3
31,188.466667,104.59182,516.926316,449.803097,cluster3
32,1093.653061,2420.909102,97.346939,24.642382,cluster3
33,638.121212,1992.663031,91.363636,10.993988,cluster3
34,1392.277778,7181.568339,10997.86111,6590.501773,cluster1
35,2494.9,2311.951425,2589.65,2526.139293,cluster3
36,600.45679,2057.339022,92.222222,13.96645,cluster3
37,774.254902,1811.611219,98.823529,26.76309,cluster3
38,1334.435484,1823.436127,749.629032,910.429981,cluster3
39,422.846535,955.168277,92.227723,13.983286,cluster3
40,460.172973,966.747443,95.351351,21.283436,cluster3
41,2905.793103,8002.593008,96.206897,22.805594,cluster1
42,284.239203,51.282126,934.923588,143.636437,cluster3
43,114.058577,895.75271,413.613668,643.049024,cluster3
44,1938.323529,5084.35291,95.294118,21.176471,cluster3
45,1196.048387,2438.401872,97.258065,24.506046,cluster3
46,2069.658537,2181.764285,2608.97561,1702.776563,cluster3
47,4129.368421,792.867097,622,0,cluster3
48,357,554.34687,90.753138,8.198488,cluster3
49,2544.363636,2645.609855,3095.787879,1410.371556,cluster3
50,290.040678,40.063065,493.620339,40.508525,cluster3
51,3194.521739,6655.640915,101.73913,30.310304,cluster1
52,6583.625,8486.296291,101.25,29.764702,cluster1
53,3555.227273,1482.166349,213.545455,64.053761,cluster3
54,517.631902,830.366701,97.177914,24.382162,cluster3
55,176.566396,1594.778658,422.463415,647.819088,cluster3
56,2204.363636,5394.170983,100.909091,29.373626,cluster1
57,237.334254,1772.269329,432.939227,621.646479,cluster3
58,59.252793,4.459038,70.625698,34.509971,cluster3
59,3257.130435,3770.491195,97.826087,25.35942,cluster3
60,594.363636,45.503791,113.944056,9.580557,cluster3
61,376.649533,723.342536,90.841121,8.659876,cluster3
62,288.080808,44.34932,808.053872,86.998416,cluster3
63,2491.590909,6466.267159,90,0,cluster1
64,3421.28,8667.667089,97.2,24.416388,cluster1
