"No.","Time","Source","Destination","Protocol","Length","Info"
"12","2016-09-26 23:00:04.267860","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"51","2016-09-26 23:00:12.954988","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"101","2016-09-26 23:00:22.123549","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"104","2016-09-26 23:00:22.427169","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=42 Ack=42 Win=1369 Len=0"
"146","2016-09-26 23:00:31.295979","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"148","2016-09-26 23:00:33.393100","192.168.1.240","207.171.178.6","NTP","90","NTP Version 4, client"
"175","2016-09-26 23:00:38.542270","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"187","2016-09-26 23:00:39.976549","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"262","2016-09-26 23:00:52.105474","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=42 Ack=83 Win=1369 Len=0"
"263","2016-09-26 23:00:52.105583","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"283","2016-09-26 23:00:58.323481","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"328","2016-09-26 23:01:07.003884","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"391","2016-09-26 23:01:22.132501","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"397","2016-09-26 23:01:22.397448","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=124 Ack=124 Win=1369 Len=0"
"406","2016-09-26 23:01:25.351110","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"417","2016-09-26 23:01:27.362372","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"441","2016-09-26 23:01:34.030267","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"533","2016-09-26 23:01:52.101566","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=124 Ack=165 Win=1369 Len=0"
"534","2016-09-26 23:01:52.101677","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"538","2016-09-26 23:01:52.378195","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"539","2016-09-26 23:01:52.624261","192.168.1.240","204.11.201.12","NTP","90","NTP Version 4, client"
"573","2016-09-26 23:02:01.057051","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"644","2016-09-26 23:02:19.405360","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"655","2016-09-26 23:02:22.129100","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"660","2016-09-26 23:02:22.608191","192.168.1.240","54.239.29.231","TLSv1.2","95","[TCP Spurious Retransmission] , Application Data"
"663","2016-09-26 23:02:23.056811","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=206 Ack=206 Win=1369 Len=0"
"676","2016-09-26 23:02:27.350541","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"678","2016-09-26 23:02:28.082433","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"770","2016-09-26 23:02:46.432587","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"799","2016-09-26 23:02:52.097803","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=206 Ack=247 Win=1369 Len=0"
"800","2016-09-26 23:02:52.097917","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"813","2016-09-26 23:02:55.108149","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"887","2016-09-26 23:03:13.458539","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"926","2016-09-26 23:03:22.125635","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"927","2016-09-26 23:03:22.134449","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"931","2016-09-26 23:03:22.397110","192.168.1.240","54.239.29.231","TCP","54","58255  >  443 [ACK] Seq=288 Ack=288 Win=1369 Len=0"
